,,,,,,,,,(単位：トン）,,,,,,,
品種,,平成30年(2018年),0,0,平成29年(2017年),0,0,前年比較,,,,,,,,
,,計,輸出,輸入,計,輸出,輸入,計：増減,前年比,,,,,,,
合計,,"47,981,969","12,770,411","35,211,558","48,151,899","12,950,374","35,201,525","-169,930",99.6%,,,,,,,
農水産品,,"4,638,916","316,461","4,322,455","4,515,935","369,922","4,146,013","122,981",102.7%,,,,,,,
1,麦,"25,661",18,"25,643","21,219",45,"21,174","4,442",120.9%,,,,,,,
2,米,"23,948","3,145","20,803","25,787","3,127","22,660","-1,839",92.9%,,,,,,,
3,とうもろこし,"7,164",120,"7,044","5,205",37,"5,168","1,959",137.6%,,,,,,,
4,豆類,"149,303",342,"148,961","124,914",191,"124,723","24,389",119.5%,,,,,,,
5,その他雑穀,"7,333",19,"7,314","3,341",104,"3,237","3,992",219.5%,,,,,,,
6,野菜・果物,"1,318,459","34,542","1,283,917","1,201,193","30,238","1,170,955","117,266",109.8%,,,,,,,
7,綿花,381,-,381,516,12,504,-135,73.8%,,,,,,,
8,その他農産品,"241,629","8,299","233,330","244,717","9,267","235,450","-3,088",98.7%,,,,,,,
9,羊毛,833,-,833,692,-,692,141,120.4%,,,,,,,
10,その他畜産品,"1,705,841","35,191","1,670,650","1,655,687","37,892","1,617,795","50,154",103.0%,,,,,,,
11,水産品,"1,158,364","234,785","923,579","1,232,664","289,009","943,655","-74,300",94.0%,,,,,,,
林産品,,"1,027,063","24,010","1,003,053","1,034,820","26,154","1,008,666","-7,757",99.3%,,,,,,,
12,原木,"6,457","2,870","3,587","4,702","2,342","2,360","1,755",137.3%,,,,,,,
13,製材,"877,383","20,429","856,954","880,636","22,089","858,547","-3,253",99.6%,,,,,,,
14,樹脂類,"78,935",347,"78,588","85,662","1,331","84,331","-6,727",92.1%,,,,,,,
15,木材チップ,"13,315",123,"13,192","4,156",229,"3,927","9,159",320.4%,,,,,,,
16,その他林産品,864,80,784,"4,679",6,"4,673","-3,815",18.5%,,,,,,,
17,薪炭,"50,109",161,"49,948","54,985",157,"54,828","-4,876",91.1%,,,,,,,
鉱産品,,"333,884","18,548","315,336","301,479","18,168","283,311","32,405",110.7%,,,,,,,
18,石炭,"41,920",1,"41,919","32,087",79,"32,008","9,833",130.6%,,,,,,,
19,鉄鉱石,259,31,228,294,21,273,-35,88.1%,,,,,,,
20,金属鉱,"8,764",6,"8,758","5,715",70,"5,645","3,049",153.4%,,,,,,,
21,砂利・砂,"26,071",923,"25,148","14,120",793,"13,327","11,951",184.6%,,,,,,,
22,石材,"98,174","3,213","94,961","105,004","1,359","103,645","-6,830",93.5%,,,,,,,
23,原油,"1,920",-,"1,920","2,250",-,"2,250",-330,85.3%,,,,,,,
24,りん鉱石,-,-,-,57,-,57,-57,-,,,,,,,
25,石灰石,"2,879",-,"2,879",854,-,854,"2,025",337.1%,,,,,,,
26,原塩,"10,479",33,"10,446","5,130",55,"5,075","5,349",204.3%,,,,,,,
27,非金属鉱物,"143,418","14,341","129,077","135,968","15,791","120,177","7,450",105.5%,,,,,,,
金属機械工業品,,"13,968,158","5,475,240","8,492,918","13,163,642","5,207,835","7,955,807","804,516",106.1%,,,,,,,
28,鉄鋼,"75,117","34,294","40,823","75,891","27,465","48,426",-774,99.0%,,,,,,,
29,鋼材,"385,795","282,581","103,214","370,439","274,169","96,270","15,356",104.1%,,,,,,,
30,非鉄金属,"249,370","93,870","155,500","273,173","114,454","158,719","-23,803",91.3%,,,,,,,
31,金属製品,"1,775,178","342,761","1,432,417","1,590,353","289,621","1,300,732","184,825",111.6%,,,,,,,
32,鉄道車両,"3,982","1,038","2,944","3,017",841,"2,176",965,132.0%,,,,,,,
33,完成自動車,"129,892","103,705","26,187","105,979","83,023","22,956","23,913",122.6%,,,,,,,
34,その他輸送用車両,"97,511","2,715","94,796","81,396","3,123","78,273","16,115",119.8%,,,,,,,
35,二輪自動車,"62,573","7,335","55,238","54,533","8,826","45,707","8,040",114.7%,,,,,,,
36,自動車部品,"2,558,718","1,610,295","948,423","2,235,557","1,479,481","756,076","323,161",114.5%,,,,,,,
37,その他輸送機械,"385,366","43,921","341,445","383,296","45,419","337,877","2,070",100.5%,,,,,,,
38,産業機械,"3,499,198","1,943,735","1,555,463","3,371,195","1,923,367","1,447,828","128,003",103.8%,,,,,,,
39,電気機械,"3,952,421","742,676","3,209,745","3,877,151","727,573","3,149,578","75,270",101.9%,,,,,,,
40,測量・光学・医療用機械,"573,296","220,321","352,975","495,498","177,547","317,951","77,798",115.7%,,,,,,,
41,事務用機器,"181,958","34,661","147,297","198,424","38,233","160,191","-16,466",91.7%,,,,,,,
42,その他機械,"37,783","11,332","26,451","47,740","14,693","33,047","-9,957",79.1%,,,,,,,
化学工業品,,"6,045,535","2,414,249","3,631,286","5,843,737","2,377,143","3,466,594","201,798",103.5%,,,,,,,
43,陶磁器,"148,992","11,303","137,689","155,896","10,180","145,716","-6,904",95.6%,,,,,,,
44,セメント,"16,676","3,356","13,320","21,322","8,629","12,693","-4,646",78.2%,,,,,,,
45,ガラス類,"291,353","89,267","202,086","203,514","69,108","134,406","87,839",143.2%,,,,,,,
46,窯業品,"371,388","146,981","224,407","354,713","109,848","244,865","16,675",104.7%,,,,,,,
47,重油,-,-,-,-,-,-,-,-,,,,,,,
48,揮発油,243,-,243,-,-,-,243,-,,,,,,,
49,その他の石油,"42,507","22,130","20,377","36,674","20,855","15,819","5,833",115.9%,,,,,,,
50,LNG/液化天然ガス,194,-,194,318,-,318,-124,61.0%,,,,,,,
51,LPG/液化石油ガス,930,-,930,-,-,-,930,-,,,,,,,
52,その他石油製品,"36,557","16,979","19,578","23,538","9,308","14,230","13,019",155.3%,,,,,,,
53,コークス,"11,569",-,"11,569","9,096",-,"9,096","2,473",127.2%,,,,,,,
54,石炭製品,"5,429","4,810",619,"8,244","7,824",420,"-2,815",65.9%,,,,,,,
55,化学薬品,"927,712","294,194","633,518","948,302","315,884","632,418","-20,590",97.8%,,,,,,,
56,化学肥料,"54,842","2,249","52,593","53,508","4,102","49,406","1,334",102.5%,,,,,,,
57,その他化学工業品,"4,137,143","1,822,980","2,314,163","4,028,612","1,821,405","2,207,207","108,531",102.7%,,,,,,,
軽工業品,,"5,458,931","646,357","4,812,574","5,705,577","694,938","5,010,639","-246,646",95.7%,,,,,,,
58,紙・パルプ,"966,663","263,254","703,409","1,144,885","332,985","811,900","-178,222",84.4%,,,,,,,
59,糸及び紡績半製品,"56,960","3,492","53,468","72,221","7,420","64,801","-15,261",78.9%,,,,,,,
60,その他繊維工業品,"379,021","59,430","319,591","407,020","61,392","345,628","-27,999",93.1%,,,,,,,
61,砂糖,"53,613",370,"53,243","57,248",511,"56,737","-3,635",93.7%,,,,,,,
62,製造食品,"2,820,154","262,856","2,557,298","2,734,281","242,776","2,491,505","85,873",103.1%,,,,,,,
63,飲料,"754,795","50,720","704,075","835,528","44,667","790,861","-80,733",90.3%,,,,,,,
64,水,"178,136","5,320","172,816","195,419","4,205","191,214","-17,283",91.2%,,,,,,,
65,たばこ,"77,778",218,"77,560","81,049",198,"80,851","-3,271",96.0%,,,,,,,
66,その他食料工業品,"171,811",697,"171,114","177,926",784,"177,142","-6,115",96.6%,,,,,,,
雑工業品,,"11,630,444","1,174,765","10,455,679","11,529,818","1,188,625","10,341,193","100,626",100.9%,,,,,,,
67,がん具,"699,165","22,212","676,953","660,434","17,877","642,557","38,731",105.9%,,,,,,,
68,衣服・身廻品・はきもの,"4,862,172","158,037","4,704,135","4,794,432","178,084","4,616,348","67,740",101.4%,,,,,,,
69,文房具・運動娯楽用品・楽器,"818,096","126,831","691,265","814,422","125,446","688,976","3,674",100.5%,,,,,,,
70,家具装備品,"2,158,475","108,807","2,049,668","2,200,547","97,633","2,102,914","-42,072",98.1%,,,,,,,
71,その他日用品,"545,552","127,908","417,644","582,439","123,266","459,173","-36,887",93.7%,,,,,,,
72,ゴム製品,"803,330","354,845","448,485","793,960","366,336","427,624","9,370",101.2%,,,,,,,
73,木製品,"1,179,405","9,623","1,169,782","1,134,884","10,503","1,124,381","44,521",103.9%,,,,,,,
74,その他製造工業品,"564,249","266,502","297,747","548,700","269,480","279,220","15,549",102.8%,,,,,,,
特殊品,,"4,879,038","2,700,781","2,178,257","6,056,891","3,067,589","2,989,302","-1,177,853",80.6%,,,,,,,
75,金属くず,"143,357","71,316","72,041","137,554","71,863","65,691","5,803",104.2%,,,,,,,
76,再利用資材,"2,220,569","2,173,069","47,500","2,452,301","2,404,593","47,708","-231,732",90.6%,,,,,,,
77,動植物性製造飼肥料,"1,052,195","23,875","1,028,320","1,076,276","17,190","1,059,086","-24,081",97.8%,,,,,,,
78,廃棄物,-,-,-,-,-,-,-,-,,,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,,,,,,,
80,輸送用容器,"1,150,053","196,466","953,587","1,215,559","185,219","1,030,340","-65,506",94.6%,,,,,,,
81,取合せ品,"312,864","236,055","76,809","1,175,201","388,724","786,477","-862,337",26.6%,,,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,,,,,,,
