,,,,,,（単位：トン）
係留施設,平成30年(2018年),,,平成29年(2017年),,
,合計,外貿,内貿,合計,外貿,内貿
合計,"91,543,456 ","49,825,795 ","41,717,661 ","90,780,146 ","50,116,156 ","40,663,990 "
公共計,"42,382,338 ","14,309,685 ","28,072,653 ","41,437,898 ","13,731,651 ","27,706,247 "
ドルフィン,"78,568 ",-,"78,568 ","69,766 ",-,"69,766 "
芝浦ふ頭,"810,536 ",-,"810,536 ","865,194 ",-,"865,194 "
芝浦物揚場,"89,887 ",-,"89,887 ","84,217 ",-,"84,217 "
日の出ふ頭,"39,785 ",-,"39,785 ","42,585 ",-,"42,585 "
竹芝ふ頭,"82,896 ",-,"82,896 ","81,421 ",-,"81,421 "
品川岸壁,"7,888,268 ","4,425,936 ","3,462,332 ","7,884,402 ","4,391,626 ","3,492,776 "
　品川コンテナ,"4,341,547 ","4,341,480 ",67 ,"4,354,694 ","4,354,694 ",-
　品川外貿,"84,456 ","84,456 ",-,"36,932 ","36,932 ",-
　品川内貿,"3,462,265 ",-,"3,462,265 ","3,492,776 ",-,"3,492,776 "
月島ふ頭,"17,373 ",-,"17,373 ","17,040 ",-,"17,040 "
10号西岸壁,"6,392,914 ",-,"6,392,914 ","6,295,331 ",-,"6,295,331 "
10号東岸壁,"396,786 ",-,"396,786 ","384,358 ",-,"384,358 "
東京港フェリーふ頭,"10,868,450 ",-,"10,868,450 ","10,085,730 ",-,"10,085,730 "
辰巳ふ頭,"376,394 ",-,"376,394 ","383,385 ",-,"383,385 "
青海コンテナふ頭（公共）,"9,393,381 ","9,228,235 ","165,146 ","8,794,114 ","8,641,656 ","152,458 "
大井水産物ふ頭,"4,792 ","4,489 ",303 ,"3,006 ","2,682 ",324 
大井食品ふ頭（OL）,"313,721 ","244,286 ","69,435 ","321,179 ","244,048 ","77,131 "
大井食品ふ頭（OM）,"131,014 ","131,014 ",-,"108,967 ","108,967 ",-
大井食品ふ頭（ON）,"14,453 ","14,453 ",-,"12,110 ","12,050 ",60 
若洲内貿ふ頭,"647,898 ",-,"647,898 ","660,815 ",-,"660,815 "
15号地木材ふ頭,"89,805 ","84,581 ","5,224 ","128,295 ","125,603 ","2,692 "
若洲建材ふ頭,"666,843 ",-,"666,843 ","530,473 ",-,"530,473 "
大井建材ふ頭,"1,578,541 ",-,"1,578,541 ","1,539,133 ",-,"1,539,133 "
城南島建設発生土ふ頭,"1,010,054 ",-,"1,010,054 ","1,342,414 ",-,"1,342,414 "
中央防波堤内側ばら物ふ頭,"224,477 ","176,691 ","47,786 ","257,846 ","205,019 ","52,827 "
中央防波堤内側建設発生土ふ頭,"280,124 ",-,"280,124 ","413,363 ",-,"413,363 "
中央防波堤内側内貿ふ頭,"985,378 ",-,"985,378 ","973,706 ",-,"973,706 "
その他,-,-,-,"159,048 ",-,"159,048 "
東京港埠頭㈱計,"34,517,626 ","32,967,545 ","1,550,081 ","35,998,185 ","34,320,110 ","1,678,075 "
青海コンテナふ頭(埠頭㈱),"7,161,545 ","7,044,939 ","116,606 ","7,125,774 ","7,087,184 ","38,590 "
お台場ライナーふ頭,"896,848 ","709,775 ","187,073 ","929,940 ","766,711 ","163,229 "
大井コンテナふ頭,"26,459,233 ","25,212,831 ","1,246,402 ","27,942,471 ","26,466,215 ","1,476,256 "
民間計,"14,643,492 ","2,548,565 ","12,094,927 ","13,344,063 ","2,064,395 ","11,279,668 "
