,,,,(単位：隻、総トン）,
航路別,入港船舶,,うちコンテナ船,,
,隻数,総トン数,隻数,総トン数,
合計,"24,374","182,980,285","8,587","154,628,918",
外航計,"5,504","137,427,504","5,118","130,674,067",
外航定期計,"5,125","130,767,857","5,118","130,674,067",
世界一周,-,-,-,-,
北米西岸(メキシコ含む),581,"36,948,199",580,"36,921,007",
北米東岸(カリビア海含む),106,"8,287,424",106,"8,287,424",
北欧・地中海,64,"5,993,052",63,"5,978,890",
南米西岸,47,"4,866,926",47,"4,866,926",
南米東岸,-,-,-,-,
南米東岸･南ア経由,-,-,-,-,
アフリカ,-,-,-,-,
オセアニア,120,"4,064,389",120,"4,064,389",
印パ･ペルシャ･ベンガル,16,"785,499",16,"785,499",
東南アジア,"1,733","42,353,138","1,728","42,300,702",
台湾,-,-,-,-,
韓国,563,"5,069,037",563,"5,069,037",
中国(香港含む),"1,895","22,400,193","1,895","22,400,193",
ナホトカ,-,-,-,-,
外航不定期,379,"6,659,647",-,-,
内航計,"18,870","45,552,781","3,469","23,954,851",
内航定期計,"6,814","32,326,465","3,444","23,910,566",
北海道,"1,200","13,219,613","1,200","13,219,613",
東北,737,"529,813",737,"529,813",
関東,"1,225","457,268",50,"25,191",
伊豆諸島,"1,845","3,596,883",-,-,
中部,412,"403,851",409,"401,604",
近畿,152,"386,843",152,"386,843",
中国,-,-,-,-,
四国,-,-,-,-,
九州,961,"10,752,210",614,"6,367,518",
沖縄,282,"2,979,984",282,"2,979,984",
内航不定期,"12,056","13,226,316",25,"44,285",
,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
