,,,,,,,,,（単位：TEU）,
航路別,合計,,,出貨,,,入貨,,,
,計,実入,空,計,実入,空,計,実入,空,
合計,"5,107,528","3,693,420","1,414,108","2,500,422","1,120,680","1,379,742","2,607,105","2,572,741","34,364",
外航計,"4,570,702","3,414,328","1,156,374","2,117,463","973,542","1,143,921","2,453,239","2,440,786","12,453",
外航定期計,"4,570,702","3,414,328","1,156,374","2,117,463","973,542","1,143,921","2,453,239","2,440,786","12,453",
世界一周,-,-,-,-,-,-,-,-,-,
北米西岸(メキシコ含む),"673,230","487,335","185,895","362,423","180,311","182,112","310,807","307,024","3,783",
北米東岸(カリビア海含む),"151,093","127,645","23,448","78,789","55,643","23,146","72,304","72,002",302,
北欧・地中海,"248,591","225,220","23,371","123,098","100,186","22,912","125,493","125,034",459,
南米西岸,"56,780","39,854","16,926","17,901","2,292","15,609","38,879","37,562","1,317",
南米東岸,-,-,-,-,-,-,-,-,-,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,
アフリカ,-,-,-,-,-,-,-,-,-,
オセアニア,"66,427","50,457","15,970","25,170","9,204","15,966","41,257","41,253",4,
印パ･ペルシャ･ベンガル,"24,296","23,426",870,"19,399","18,538",861,"4,897","4,888",9,
東南アジア,"1,651,646","1,398,460","253,186","643,316","393,246","250,070","1,008,330","1,005,214","3,116",
台湾,-,-,-,-,-,-,-,-,-,
韓国,"200,818","142,351","58,467","97,695","40,620","57,075","103,123","101,731","1,392",
中国(香港含む),"1,497,821","919,580","578,241","749,672","173,502","576,170","748,149","746,078","2,071",
ナホトカ,-,-,-,-,-,-,-,-,-,
外航不定期,-,-,-,-,-,-,-,-,-,
内航計,"536,826","279,092","257,734","382,957","147,136","235,821","153,869","131,956","21,913",
内航定期計,"266,007","212,970","53,037","140,755","107,997","32,758","125,252","104,973","20,279",
北海道,"72,364","69,749","2,615","37,691","36,622","1,069","34,673","33,127","1,546",
東北,"58,458","45,640","12,818","33,297","22,176","11,121","25,161","23,464","1,697",
関東,"2,730","2,005",725,"2,039","1,595",444,691,410,281,
伊豆諸島,-,-,-,-,-,-,-,-,-,
中部,"34,662","19,813","14,849","19,280","5,360","13,920","15,382","14,453",929,
近畿,"15,949","9,822","6,127","6,483",719,"5,764","9,466","9,103",363,
中国,-,-,-,-,-,-,-,-,-,
四国,-,-,-,-,-,-,-,-,-,
九州,"32,035","30,680","1,355","14,395","13,955",440,"17,640","16,725",915,
沖縄,"49,809","35,261","14,548","27,570","27,570",-,"22,239","7,691","14,548",
内航不定期,"270,818","66,123","204,695","242,204","39,141","203,063","28,614","26,982","1,632",
,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,
*単位未満の数は四捨五入しているため、総数と内訳の合計と一致しない場合がある。,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
