２　入港船舶数,,,
,,,
,,隻数,前年比(%)
,　合計,"24,374",103.3
,　　外航船,"5,504",102.8
,　　　（コンテナ船）,"5,118",102.1
,　　内航船,"18,870",103.4
,　　　（カーフェリー）,347,98.6
,　　　（コンテナ船）,"3,469",122.6
*　コンテナ船は、フルコンテナ船の他に、セミコンテナ船、ＲＯＲＯ船を含む。,,,
