,,(単位：隻、総トン）,,,
国籍,隻数,総トン数,,,
中国,"1,483","23,727,682",,,
(香港),"1,305","20,366,263",,,
パナマ,"1,028","39,548,298",,,
シンガポール,541,"15,998,745",,,
リベリア,464,"14,154,298",,,
韓国,342,"3,390,812",,,
アンティグア･バーブーダ,303,"2,999,827",,,
マーシャル諸島,288,"8,550,023",,,
バハマ,244,"4,337,240",,,
キプロス,129,"2,106,286",,,
マルタ,125,"2,631,280",,,
ポルトガル,113,"3,106,123",,,
蘭領アンティル,101,"906,862",,,
モントセラト,89,"6,060,186",,,
台湾,39,"1,321,392",,,
イタリア,35,"2,120,224",,,
ベリーズ,31,"132,510",,,
イギリス,26,"1,839,561",,,
日本,22,"1,758,447",,,
ドイツ,19,"1,383,372",,,
フィリピン,13,"315,462",,,
ノルウェー,12,"388,068",,,
ロシア,12,"58,506",,,
シエラレオネ,10,"37,883",,,
セントビンセント,7,"45,183",,,
タイ,6,"149,730",,,
デンマーク,4,"159,273",,,
ベトナム,4,"28,980",,,
トーゴ,4,"12,662",,,
バヌアツ,3,"54,271",,,
ミクロネシア連邦,2,"9,448",,,
アメリカ,1,"54,367",,,
インドネシア,1,"25,674",,,
オランダ,1,"9,298",,,
その他,2,"5,531",,,
合計,"5,504","137,427,504",,,
