 11 輸入貨物主要港品種別表（上位15位）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(単位：トン）,,,,,,,,,(単位：トン）,,,,,,,
品種,,上海,レムチャバン,香港,青島,蛇口,バンクーバー,太倉,釜山,品種,,ロサンゼルス,シンガポール,タコマ,オークランド,大連,高雄,"新港,天津",,,,,,,
合計,,"4,002,587","2,174,019","1,916,136","1,754,391","1,684,701","1,378,867","1,200,772","1,167,522",合計,,"1,142,304","1,115,891","1,024,685","985,128","804,591","719,859","700,090",,,,,,,
農水産品,,"75,984","175,782","221,071","403,323","6,663","543,153",797,"72,505",農水産品,,"212,807","111,365","106,727","701,714","88,702","91,247","10,880",,,,,,,
1,麦,-,-,-,-,-,"114,038",-,281,1,麦,105,660,780,360,-,-,-,,,,,,,
2,米,-,"2,385",-,-,-,-,-,1,2,米,-,177,-,"15,465",225,405,-,,,,,,,
3,とうもろこし,-,45,30,-,-,435,-,30,3,とうもろこし,"3,148",90,405,612,9,-,-,,,,,,,
4,豆類,590,255,"1,275",225,30,"86,601",-,"1,575",4,豆類,"13,147",148,"6,019",450,495,-,-,,,,,,,
5,その他の雑穀,-,-,-,-,-,75,-,-,5,その他の雑穀,390,15,"5,799",60,195,-,165,,,,,,,
6,野菜、果物,"52,077","24,398","8,358","301,615","2,078","4,893",195,"14,986",6,野菜、果物,"74,733","13,663","42,922","144,015","10,055","48,871","6,387",,,,,,,
7,綿花,-,-,-,-,34,-,-,-,7,綿花,30,45,-,-,-,105,-,,,,,,,
8,その他農産品,"11,871","3,625","1,193","37,847","3,205","3,194",270,"2,075",8,その他農産品,"2,179","14,924","8,218","6,352","6,717","8,674","3,276",,,,,,,
9,羊毛,90,-,-,-,-,-,14,-,9,羊毛,-,75,-,-,-,30,-,,,,,,,
10,その他畜産品,"5,651","94,878","170,202","3,057",623,"326,187",198,"11,292",10,その他畜産品,"116,389","39,596","30,502","532,508",542,"10,328",654,,,,,,,
11,水産品,"5,705","50,196","40,013","60,579",693,"7,730",120,"42,265",11,水産品,"2,686","41,972","12,082","1,892","70,464","22,834",398,,,,,,,
林産品,,"15,383","3,398","5,448","2,742","6,714","422,921",465,"27,585",林産品,,668,"12,265","69,146",54,"5,825","23,149",402,,,,,,,
12,原木,689,-,15,-,528,322,465,-,12,原木,-,45,-,-,-,-,-,,,,,,,
