"年度","対象施設数[か所]","個別指導件数[件]","集団指導件数[件]"
"2014","362","1383","407"
"2015","362","1165","181"
"2016","357","1347","137"
"2017","364","1295","202"
"2018","376","1528","260"

"令和元年度港区行政資料集　給食施設指導","Ver201903",,
