"基準日","基準地番号","基準地の所在及び地番","基準地の住居表示","本年_基準地の１平方メートル当たりの価格_円","前年_基準地の１平方メートル当たりの価格_円","変動率_パーセント","基準地の面積_M2","基準地の形状","基準地の利用の現況","基準地の周辺の土地の利用の現況","基準地の前面道路の状況","基準地についての水道_ガス供給施設及び下水道の整備状況","基準地の鉄道その他の主要な交通施設との接近の状況","基準地に係る都市計画法_その他法令の制限で主要なもの","備考","経度","緯度","分類"
"令和3年7月1日","基1＊","鷺宮3丁目153番4","鷺宮3-28-5","480,000","480,000","0","167㎡","1:2","住宅　Ｗ２","中小規模一般住宅にアパートも見られる住宅地域","北西5.5m区道","水道・ガス・下水","鷺ノ宮 320ｍ","１低専（50・150）準防 高度","地価公示の標準地（価格判定の基準日：令和３年1月1日）と同一の基準地である  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.640205435722","35.7245900889746","令和3年7月1日"
"令和3年7月1日","基2","大和町1丁目67番15","大和町1-36-12","515,000","511,000","0.8","159㎡","1:2","住宅　ＬＳ２","中規模一般住宅、アパートが多い住宅地域","東3.5m区道","水道・ガス・下水","高円寺 750ｍ","１中専（60・200）準防 高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.651314631327","35.7113477483397","令和3年7月1日"
"令和3年7月1日","基3","江原町3丁目24番8","江原町3-24-2","502,000","498,000","0.8","217㎡","1:1.5","寄宿舎　Ｗ２","中規模一般住宅に共同住宅も見られる住宅地域","南6m区道","水道・ガス・下水","新江古田 300ｍ","１低専（60・150）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.673685977553","35.7325442337197","令和3年7月1日"
"令和3年7月1日","基4","上高田4丁目34番3","上高田4-34-4","508,000","500,000","1.6","101㎡","1:1.5","住宅　Ｗ２","一般住宅のほか共同住宅等も見られる住宅地域","西5.5m区道","水道・ガス・下水","新井薬師前 620ｍ","１低専（60・150）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.67681456095","35.7137771073959","令和3年7月1日"
"令和3年7月1日","基5","本町6丁目58番16","本町6-22-5","603,000","597,000","1.0","215㎡","1:1.5","住宅　Ｗ１","中規模一般住宅、アパート等が建ち並ぶ住宅地域","西5.5m区道","水道・ガス・下水","新中野 450ｍ","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664436337739","35.6961772559185","令和3年7月1日"
"令和3年7月1日","基6","南台3丁目45番7","南台3-37-7","536,000","535,000","0.2","85㎡","1.5：1","住宅　Ｗ３","小規模一般住宅、アパート等が建ち並ぶ住宅地域","南3.6m区道、東側道","水道・ガス・下水","方南町 700ｍ","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664903884097","35.6826447143665","令和3年7月1日"
"令和3年7月1日","基7","中央3丁目1番17","中央3-3-6","677,000","677,000","0","92㎡","1:2","住宅　Ｗ３","一般住宅、アパート等が建ち並ぶ住宅地域","西5.4m区道","水道・ガス・下水","新中野 720ｍ","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.675300244023","35.7000394022743","令和3年7月1日"
"令和3年7月1日","基8","中央1丁目31番28","中央1-30-23","753,000","749,000","0.5","241㎡","1:2","住宅　Ｗ２","一般住宅、マンション等が建ち並ぶ住宅地域","東5.5m区道","水道・ガス・下水","中野坂上 360m","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.685221070357","35.6986690473009","令和3年7月1日"
"令和3年7月1日","基9","東中野4丁目47番19","東中野4-12-18","675,000","662,000","2.0","161㎡","1:1.5","住宅 ＬＳ２","一般住宅のほかマンション等も見られる住宅地域","南東4m私道","水道・ガス・下水","東中野 350ｍ","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.684980756","35.7084036974619","令和3年7月1日"
"令和3年7月1日","基10","沼袋2丁目200番21","沼袋2-23-11","479,000","479,000","0.0","132㎡","1:2","住宅　Ｗ２","一般住宅のほかアパートも見られる住宅地域","北東5.2m区道","水道・ガス・下水","沼袋 550m","１低専（60・150）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.66626742563","35.722288386797","令和3年7月1日"
