"基準日","標準地番号","標準地の所在及び地番","標準地の住居表示","本年_標準地の１平方メートル当たりの価格_円","前年_標準地の１平方メートル当たりの価格_円","変動率_パーセント","標準地の面積_M2","標準地の形状","標準地の利用の現況","標準地の周辺の土地の利用の現況","標準地の前面道路の状況","標準地についての水道_ガス供給施設及び下水道の整備状況","標準地の鉄道その他の主要な交通施設との接近の状況","標準地に係る都市計画法_その他法令の制限で主要なもの","備考","経度","緯度","分類"
"令和4年1月1日","公1※","新井２丁目４８番２７","新井２－８－１０","670000","648,000","3.4","１70㎡","1:1.5","共同住宅 ＲＣ４","中小規模の中層共同住宅が多く建ち並ぶ住宅地域","北10m区道","水道・ガス・下水","中野 820ｍ","１中専 （60・200）防火","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664814786408","35.7124280430652","令和4年1月1日"
"令和4年1月1日","公2","白鷺３丁目９１２番２９","白鷺３－６－９","453000","448,000","1.1","183㎡","台形 1.5：1","共同住宅 Ｓ２","一般住宅のほかアパートも見られる住宅地域","西4m区道","水道・ガス・下水","鷺ノ宮 750ｍ","１低専 （50・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.631646265298","35.7217072761897","令和4年1月1日"
"令和4年1月1日","公3","中央２丁目４２番５","中央２－４５－４","582000","―","―","80㎡","1:1.5","住宅 Ｗ３","戸建住宅が多く見られる住宅地域","北西4ｍ区道","水道・ガス・下水","中野坂上 480ｍ","１中専 （60・200）準防","","139.677671438462","35.6990872148518","令和4年1月1日"
"令和4年1月1日","公4","若宮２丁目６６番１４外","若宮２－１０－１１","452000","447,000","1.1","99㎡","1:2","住宅 Ｗ２","中小規模住宅、アパート等が見られる住宅地域","北4m区道","水道・ガス・下水","都立家政 620m","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.64562304165","35.7176577351052","令和4年1月1日"
"令和4年1月1日","公5","江原町１丁目６５番１３","江原町１－３３－２","528000","522,000","1.1","213㎡","1.2：1","住宅 RC２F１B","一般住宅、アパート等が建ち並ぶ既成住宅地域","南8m区道","水道・ガス・下水","新江古田 610ｍ","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.672821780712","35.7286134106887","令和4年1月1日"
"令和4年1月1日","公6","上高田５丁目３０番２２外","上高田５－３０－３","479000","470,000","1.9","114㎡","1.5：1","住宅 Ｗ２","小規模一般住宅、アパート等が建ち並ぶ住宅地域","西4m私道","水道・ガス・下水","新井薬師前 460m","１低専 （60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.674910569865","35.7186212591568","令和4年1月1日"
"令和4年1月1日","公7","弥生町５丁目５６番９外","弥生町５－９－２６","614000","602,000","2.0","102㎡","1:1.2","住宅 W２","中小規模の住宅、共同住宅が建ち並ぶ住宅地域","東4.5m区道","水道・ガス・下水","中野富士見町 550m","１低専（60・150）準防","","139.666703890754","35.6875893317094","令和4年1月1日"
"令和4年1月1日","公8","東中野３丁目１２７番８","東中野３－１９－１８","645000","625,000","3.2","194㎡","1:1.5","住宅兼共同住宅 Ｗ２","一般住宅のほかにアパート等も見られる住宅地域","北東4.5m区道","水道・ガス・下水","東中野 430m","１低専（60・150）準防","","139.68077853999","35.7083244467395","令和4年1月1日"
"令和4年1月1日","公9","弥生町１丁目３９番１３","弥生町１－３５－１３","565000","554,000","2.0","178㎡","1:2","共同住宅 ＬＳ３","小規模住宅、アパート等が密集する住宅地域","北東3.8m区道","水道・ガス・下水","西新宿５丁目 500ｍ","１中専（60・200）準防","","139.679461711366","35.6892553610731","令和4年1月1日"
"令和4年1月1日","公10","本町２丁目３６番１５","本町２－１３－１３","627000","614,000","2.1","200㎡","1:1.2","住宅 Ｗ２","一般住宅、マンション等が多い住宅地域","南4.5m私道","水道・ガス・下水","中野坂上 550m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.678145973317","35.6946595327954","令和4年1月1日"
"令和4年1月1日","公11","中野３丁目２番１","中野３－２３－４６","850000","825,000","3.0","304㎡","1:1.5","共同住宅 Ｓ４Ｆ１Ｂ","中規模以上の住宅の多い閑静な住宅地域","北5.5m区道","水道・ガス・下水","中野 500m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.663955688208","35.7016821381878","令和4年1月1日"
"令和4年1月1日","公12","野方２丁目１４２３番１１","野方２－４３－５","447000","441,000","1.4","215㎡","1:1.5","住宅 Ｗ２","一般住宅のほかアパートも見られる住宅地域","南西4m区道","水道・ガス・下水","野方 800m","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.655274118293","35.7147321272487","令和4年1月1日"
"令和4年1月1日","公13","中央１丁目６１２番１","中央１－２１－１３","980000","942,000","4.0","2,014㎡","不整形 1：2.5","共同住宅 ＲＣ５","共同住宅のほか一般住宅も見られる住宅地域","北5.8m区道","水道・ガス・下水","中野坂上 270ｍ","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.685769112503","35.6973202346514","令和4年1月1日"
"令和4年1月1日","公14※","鷺宮３丁目１５３番４","鷺宮３－２８－５","481000","476,000","1.1","167㎡","1:2","住宅 Ｗ２","中小規模一般住宅にアパートも見られる住宅地域","北西5.5ｍ区道","水道・ガス・下水","鷺ノ宮 320ｍ","１低専（50・150）準防","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.6402745091","35.7246048423195","令和4年1月1日"
