階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
2,1．農林水産業 Agriculture， forestry and fishing,97711,99249,99760,98289,97753,97024,91228,83601,83454,74165,61604
3,（1）農業 Agriculture,58862,59619,64585,63300,63315,59536,55757,49090,46108,44291,35875
3,（2）林業 Forestry,3955,3963,4421,4948,4528,4277,3938,3965,3912,3653,4336
3,（3）水産業 Fishing,34894,35667,30753,30041,29910,33212,31533,30547,33434,26221,21393
2,2．鉱業 Mining,107980,115745,131809,145530,127047,108256,102811,94266,80077,79734,70293
2,3．製造業 Manufacturing,15099774,14901192,14996291,15213565,15203266,14679225,14825863,14895736,14205146,13470391,14584721
3,（1）食料品 Food products and beverages,1711689,1683748,1662381,1696822,1782192,1719283,1746395,1826647,1784681,1758532,1766077
3,（2）繊維製品 Textile products,200676,198301,180105,182260,211547,164841,165881,175917,165233,161011,182028
3,（3）パルプ・紙・紙加工品 Pulp， paper and paper products,256750,240247,225267,227660,249673,217616,222898,223668,223271,224406,234805
3,（4）化学 Chemicals,1236734,1237588,1279422,1274526,1308184,1222190,1292225,1309875,1305974,1335588,1458561
3,（5）石油・石炭製品 Petroleum and coal products,184975,193057,209943,199810,167730,162828,179777,195957,174600,135877,198096
3,（6）窯業・土石製品 Non-metallic mineral products,296855,277184,263985,292323,284477,279768,292298,299738,264857,282186,294252
3,（7）一次金属 Basic metal,524210,492649,486891,494093,473429,460077,514394,554125,546297,557300,628204
3,（8）金属製品 Fabricated metal products,578968,588139,561655,566940,581940,571808,579938,603900,598578,537327,600826
3,（9）はん用・生産用・業務用機械 General-purpose， production and business oriented  machinery,2136757,2019812,2041415,1926636,2006210,1999102,2062779,2068072,1954453,2028636,2102219
3,（10）電子部品・デバイス Electronic components and devices,660303,656255,578627,630092,682967,662354,704218,703170,685431,747038,794851
3,（11）電気機械 Electrical machinery， equipment and supplies,994751,958389,999620,1239545,1210489,1156160,1160425,1225509,1212372,1066915,1059344
3,（12）情報・通信機器 Information and communication electronics equipment,1391303,1445851,1581655,1491764,1347073,1119374,1127022,1076770,943473,778413,899525
3,（13）輸送用機械 Transport equipment,2177190,2286213,2394244,2482456,2566272,2786394,2598063,2503186,2198988,1868699,2161425
3,（14）印刷業 Printing,1485020,1398618,1316941,1311917,1193070,1054972,1051219,1012373,1003903,944299,1016808
3,（15）その他の製造業 Others,1263593,1225141,1214138,1196721,1138011,1102458,1128331,1116828,1143034,1044164,1187699
2,4．電気・ガス・水道・廃棄物処理業 Electricity， gas and water supply and waste management service,2425010,2544013,2628533,2789808,2823303,2779992,2872069,2947602,3134514,3104973,3095864
3,（1）電気業 Electricity supply,704510,767778,796515,874142,885204,845599,854493,862472,918637,897515,842099
3,（2）ガス・水道・廃棄物処理業 Gas and water supply， and waste management service,1720501,1776235,1832018,1915666,1938098,1934394,2017576,2085130,2215877,2207458,2253765
2,5．建設業 Construction,8096168,7797583,8221944,8242078,8967079,10129403,11397737,11330118,10777338,10831445,11005189
2,6．卸売・小売業 Wholesale and retail trade,40865039,41047345,42860278,41779406,41182682,40100604,41611546,42453895,40937652,37710807,40802519
3,（1）卸売業 Wholesale trade,31547841,31282070,32363977,31346670,30519100,29487511,30844117,31540096,30025706,26956411,29840085
3,（2）小売業 Retail trade,9317198,9765275,10496301,10432737,10663582,10613093,10767429,10913799,10911946,10754396,10962434
2,7．運輸・郵便業 Transport and postal services,7387851,7673226,7909309,8242850,8524310,8504128,8705820,8837466,8624000,5673933,6195934
2,8．宿泊・飲食サービス業 Accommodation and food service activities,6426198,6556440,6634175,6885051,7150112,7264592,7333561,7229438,7139486,5149381,4390791
2,9．情報通信業 Information and communications,21315428,22118571,23255924,23903946,25211774,25682149,25712421,26179529,27083363,26910111,28252745
3,（1）通信・放送業 Communications and broadcasting,5890490,6199735,6877715,7200678,7884921,8449515,8568654,8739421,8735494,8923746,8989993
3,（2）情報サービス・映像音声文字情報制作業 Information services， and Image， sound and character information production and distribution,15424938,15918836,16378209,16703268,17326853,17232634,17143767,17440108,18347869,17986365,19262752
2,10．金融・保険業 Finance and insurance,13997514,13590122,13977820,13790273,14028791,13588248,14043878,14420393,14405687,14081859,14385776
2,11．不動産業 Real estate,15176849,15332956,15655207,16281534,16785645,17242992,17420977,17705169,18217149,18695962,18823541
3,（1）住宅賃貸業 Renting of dwellings,10594379,10667404,10734806,10848882,10959427,11066791,11171208,11277249,11521853,11748019,11994883
3,（2）その他の不動産業 Other real estate,4582471,4665552,4920401,5432651,5826218,6176201,6249769,6427920,6695297,6947943,6828658
2,12．専門・科学技術、業務支援サービス業 Professional， scientific and technical activities,19550535,19932629,21274219,22487366,24071993,24740199,25040462,25459557,26052860,25273507,26402489
2,13．公務 Public administration,6969054,7119332,7366395,7734080,7909296,7843776,7625752,7709748,8368296,9297898,9633037
2,14．教育 Education,4561698,4485353,4470591,4484429,4506132,4519003,4557919,4578480,4615588,4613511,4565059
2,15．保健衛生・社会事業 Human health and social work activities,8586063,8989258,9362131,9681288,10125088,10312920,10586999,10801657,11146850,11008936,11955722
2,16．その他のサービス Other service activities,7946778,7992210,8069707,8081826,8084867,7963770,8177568,8133330,8035003,7054900,7444862
1,17．小計 Sub-total,178609650,180295223,186914093,189841317,194799137,195556283,200106611,202859985,202906464,193031512,201670147
1,18．輸入品に課される税・関税 Taxes and duties on imports,953220,904380,915471,909906,919640,813334,915791,953674,980371,928420,980708
1,19．（控除）総資本形成に係る消費税 (less) Consumption taxes for gross capital formation,539307,538871,587386,868054,989554,1011057,1041621,1092924,1153591,1258486,1299286
0,20．合計 Total,179023564,180660732,187242178,189883169,194729223,195358560,199980781,202720735,202733245,192701447,201351569
,,,,,,,,,,,,
