階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
2,1．農林水産業 Agriculture， forestry and fishing,88.9,89.7,88.6,91.3,101.1,115.8,121.6,115.2,113.8,119.3,111.7
3,（1）農業 Agriculture,86.9,94.2,90.8,90.1,101.6,116.5,114.9,114.5,109.6,111.4,102.7
3,（2）林業 Forestry,96.4,95,108.5,101.5,98.3,105.8,110.7,113.9,110,111.2,134.5
3,（3）水産業 Fishing,87.5,79.3,81.1,92.2,100.5,115.7,135.5,118.9,122.5,135.7,124.6
2,2．鉱業 Mining,80.4,82.6,86,95.7,97.1,94.4,95.7,100.2,100.3,102.7,116.9
2,3．製造業 Manufacturing,96.4,95.8,97.2,98.7,100,98.2,98.1,97.8,97.3,97.8,98.4
3,（1）食料品 Food products and beverages,96.1,95.7,95.5,97.9,101,101.1,100.4,100.4,101.5,103.1,101.7
3,（2）繊維製品 Textile products,92,92.8,94.3,97.9,100.2,99.9,99.3,99.3,101.5,102,100
3,（3）パルプ・紙・紙加工品 Pulp， paper and paper products,97.7,99,96.5,98.3,100.3,100.8,99.5,101.2,107.7,111,107.2
3,（4）化学 Chemicals,100.5,99,102.9,103.5,98.9,94,96.4,95.8,92.2,89.1,95.5
3,（5）石油・石炭製品 Petroleum and coal products,104.9,103.7,110,109.8,96.8,94.2,103.8,112.2,108.1,108.6,128.2
3,（6）窯業・土石製品 Non-metallic mineral products,96.8,95.1,93.1,94.6,100.7,100.5,98,104.3,108.2,112,105.8
3,（7）一次金属 Basic metal,101.9,96.1,95.9,100.6,98.7,96.1,104.6,108.7,109.2,112,130.1
3,（8）金属製品 Fabricated metal products,87.5,91.2,92.9,96.9,101.2,102.6,102.2,104.3,107.7,109.8,106
