項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1．（1）一人当たり都内総生産（名目）(千円 Thousands of Yen) Gross prefectural domestic product per capita (at current prices),7728,7784,7988,7953,8143,8151,8237,8280,8182,7788,8114
（2）一人当たり国内総生産（名目）(千円 Thousands of Yen)  Gross domestic product per capita (at current prices) ,3914,3915,4024,4114,4255,4290,4379,4392,4401,4261,4386
（3）国に対する都の倍率 Prefecture-to-nation ratio,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8
2．（1）一人当たり都民所得（名目）(千円 Thousands of Yen) Prefectural income per capita (at current prices) ,5223,5329,5646,5651,5842,5762,5843,5920,5715,5203,5760
（2）一人当たり国民所得（名目）(千円 Thousands of Yen) National income per capita (at current prices) ,2798,2808,2925,2961,3089,3089,3157,3181,3177,2975,3155
（3）国に対する都の倍率 Prefecture-to-nation ratio,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.7,1.8
3．（1）家計（個人企業を含む）の一人当たり可処分所得（名目）（東京都）(千円 Thousands of Yen) Prefectural disposable income of households (including private unincorporated enterprises) per capita  (at current prices) ,2839,2851,2823,2834,2866,2850,2846,2881,2758,2938,2898
（2）家計（個人企業を含む）の一人当たり可処分所得（名目）（全国）(千円 Thousands of Yen) National disposable income of households (including  private unincorporated enterprises) per capita (at current prices) ,2272,2262,2276,2274,2315,2327,2351,2388,2437,2532,2481
（3）国に対する都の倍率 Prefecture-to-nation ratio,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.2
（参考）全国総人口(千人) (cf) Total national population (Thousands of persons),127771,127571,127393,127217,127086,127012,126896,126727,126525,126161,125513
,,,,,,,,,,,
"都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021							",,,,,,,,,,,
４　関連指標  ４　Related Indicators,,,,,,,,,,,
(3)　国との比較（一人当たり都内総生産等）(3)  Comparison with National Accounts  (Gross Prefectural Domestic Product per capita， etc.),,,,,,,,,,,
注1）全国値は「2021年度国民経済計算」（内閣府経済社会総合研究所）より引用  Note1: National data from “Annual Report on National Accounts for 2021” by Economic and Social Research Institute， Cabinet Office，  Government of Japan,,,,,,,,,,,
注2）一人当たり都内総生産等の計算式      Note2: Gross prefectural domestic product per capita， etc. are calculated as follows:,,,,,,,,,,,
・一人当たり都内総生産（名目）＝都内総生産（名目）÷都総人口         Gross prefectural domestic product per capita (at current prices) =Gross prefectural domestic product (at current prices) ÷Total population of Tokyo,,,,,,,,,,,
・一人当たり都民所得（名目）＝都民所得（名目）÷都総人口         Prefectural income per capita (at current prices) =Prefectural income (at current prices) ÷Total population of Tokyo,,,,,,,,,,,
・家計（個人企業を含む）の一人当たり可処分所得（名目）＝可処分所得（家計（個人企業を含む））（名目）÷総人口         Disposable income of households (including private unincorporated enterprises) per capita (at current prices) =Disposable income  of households (including private unincorporated enterprises) (at current prices) ÷Total population,,,,,,,,,,,
Note3: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,
