"項目 Item	",2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
"1．雇用者報酬（都内活動による） Compensation of employees (from activities in Tokyo)	",49281476,49561596,49890238,50806798,51409873,52824497,53342007,54357226,53904595,53751672,53978404
2．営業余剰・混合所得 Operating surplus and mixed income,28954632,29811455,32154120,30530464,32423809,31923097,33049133,33212118,32812878,27825397,30585937
"3．固定資本減耗 Consumption of fixed capital	",19047933,18889406,19417267,19988325,20416089,20566265,20993197,21377588,21613086,21516327,22536726
"4．生産・輸入品に課される税 Taxes on production and imports	",5083672,5034862,5121150,5556264,6155108,6243016,6310081,6345317,6535805,6703778,6979851
5．（控除）補助金 (less) Subsidies,444745,323086,371776,380298,384079,352380,297535,323534,338475,377254,395002
"都内総生産（生産側） Gross prefectural domestic product (production approach)	",101922967,102974233,106210999,106501553,110020800,111204495,113396884,114968715,114527888,109419920,113685917
"6．民間最終消費支出 Private final consumption expenditure	",38480338,38863046,40165892,40704246,41469113,41508436,42550386,43331721,43540482,41914604,43956659
"7．地方政府等最終消費支出 Final consumption expenditure of local government and local social security funds	",6656357,6729002,6887654,6957973,7167855,7195744,7356980,7386202,7716927,7850867,8364920
"8．都内総固定資本形成 Gross prefectural domestic fixed capital formation	",17644824,17843390,19432578,19946804,20251346,20578427,21276176,21730823,21924041,20401060,21347374
"9．在庫変動 Changes in inventories	",575300,161987,396899,-11675,736715,-323701,320646,400484,808408,-1089087,-657785
"10．財貨・サービスの移出入（純） Outflows of goods and services， net	",34322525,35745531,36490452,35557526,36794849,37684302,36764294,37151389,37080294,37139805,39553678
"11．統計上の不突合 Statistical discrepancy	",4243622,3631277,2837524,3346680,3600921,4561287,5128403,4968096,3457736,3202670,1121072
都内総生産（支出側） Gross prefectural domestic product (expenditure approach) ,101922967,102974233,106210999,106501553,110020800,111204495,113396884,114968715,114527888,109419920,113685917
"											",,,,,,,,,,,
"都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021							",,,,,,,,,,,
"１　統合勘定  １　Integrated Accounts (単位: 100万円　Millions of Yen)											",,,,,,,,,,,
"(1)　都内総生産勘定（生産側及び支出側） (1) Gross Prefectural Domestic Product Account (Production and Expenditure Approach)											",,,,,,,,,,,
"注）「地方政府等」は、地方政府と地方社会保障基金である。											",,,,,,,,,,,
"Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.											",,,,,,,,,,,
