経済活動の種類 Classification of economic activities,就業者数(常住地ベース) Employed Persons (on a residence basis)／2011年度(Fiscal Year  2011),就業者数(常住地ベース) Employed Persons (on a residence basis)／2012年度(Fiscal Year  2012),就業者数(常住地ベース) Employed Persons (on a residence basis)／2013年度(Fiscal Year  2013),就業者数(常住地ベース) Employed Persons (on a residence basis)／2014年度(Fiscal Year  2014),就業者数(常住地ベース) Employed Persons (on a residence basis)／2015年度(Fiscal Year  2015),就業者数(常住地ベース) Employed Persons (on a residence basis)／2016年度(Fiscal Year  2016),就業者数(常住地ベース) Employed Persons (on a residence basis)／2017年度(Fiscal Year  2017),就業者数(常住地ベース) Employed Persons (on a residence basis)／2018年度(Fiscal Year  2018),就業者数(常住地ベース) Employed Persons (on a residence basis)／2019年度(Fiscal Year  2019),就業者数(常住地ベース) Employed Persons (on a residence basis)／2020年度(Fiscal Year  2020),就業者数(常住地ベース) Employed Persons (on a residence basis)／2021年度(Fiscal Year  2021),雇用者数(常住地ベース) Employees (on a residence basis)／2011年度(Fiscal Year  2011),雇用者数(常住地ベース) Employees (on a residence basis)／2012年度(Fiscal Year  2012),雇用者数(常住地ベース) Employees (on a residence basis)／2013年度(Fiscal Year  2013),雇用者数(常住地ベース) Employees (on a residence basis)／2014年度(Fiscal Year  2014),雇用者数(常住地ベース) Employees (on a residence basis)／2015年度(Fiscal Year  2015),雇用者数(常住地ベース) Employees (on a residence basis)／2016年度(Fiscal Year  2016),雇用者数(常住地ベース) Employees (on a residence basis)／2017年度(Fiscal Year  2017),雇用者数(常住地ベース) Employees (on a residence basis)／2018年度(Fiscal Year  2018),雇用者数(常住地ベース) Employees (on a residence basis)／2019年度(Fiscal Year  2019),雇用者数(常住地ベース) Employees (on a residence basis)／2020年度(Fiscal Year  2020),雇用者数(常住地ベース) Employees (on a residence basis)／2021年度(Fiscal Year  2021),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2011年度(Fiscal Year  2011),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2012年度(Fiscal Year  2012),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2013年度(Fiscal Year  2013),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2014年度(Fiscal Year  2014),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2015年度(Fiscal Year  2015),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2016年度(Fiscal Year  2016),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2017年度(Fiscal Year  2017),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2018年度(Fiscal Year  2018),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2019年度(Fiscal Year  2019),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2020年度(Fiscal Year  2020),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2021年度(Fiscal Year  2021),雇用者数(就業地ベース) Employees (on a workplace basis)／2011年度(Fiscal Year  2011),雇用者数(就業地ベース) Employees (on a workplace basis)／2012年度(Fiscal Year  2012),雇用者数(就業地ベース) Employees (on a workplace basis)／2013年度(Fiscal Year  2013),雇用者数(就業地ベース) Employees (on a workplace basis)／2014年度(Fiscal Year  2014),雇用者数(就業地ベース) Employees (on a workplace basis)／2015年度(Fiscal Year  2015),雇用者数(就業地ベース) Employees (on a workplace basis)／2016年度(Fiscal Year  2016),雇用者数(就業地ベース) Employees (on a workplace basis)／2017年度(Fiscal Year  2017),雇用者数(就業地ベース) Employees (on a workplace basis)／2018年度(Fiscal Year  2018),雇用者数(就業地ベース) Employees (on a workplace basis)／2019年度(Fiscal Year  2019),雇用者数(就業地ベース) Employees (on a workplace basis)／2020年度(Fiscal Year  2020),雇用者数(就業地ベース) Employees (on a workplace basis)／2021年度(Fiscal Year  2021)
1．農林水産業  Agriculture， forestry and fishing,32827,32933,33010,33087,33139,31559,30189,28777,27098,26015,24984,15194,15308,15360,15426,15475,14997,14590,14027,13142,12791,12445,33791,33970,34124,34290,34439,32835,31443,30007,28294,27192,26140,15503,15645,15725,15827,15918,15440,15038,14475,13582,13239,12899
2．鉱業 Mining,1539,1662,1770,1945,2173,2072,1930,1894,1859,1789,1783,1531,1654,1761,1937,2165,2065,1924,1888,1854,1784,1780,2360,2545,2705,2968,3311,3131,2892,2814,2738,2613,2605,2352,2537,2697,2961,3303,3124,2886,2809,2733,2608,2602
3．製造業 Manufacturing,800615,821511,833622,852042,823164,791541,744613,754614,756613,708890,677772,748897,773257,784889,801906,778024,753482,711104,726523,708652,673553,657064,1054142,1081736,1100138,1127766,1093486,1046491,979660,988201,984348,918161,878849,970080,1008156,1030122,1059601,1035161,997887,937355,953125,925180,875016,853597
4．電気・ガス・水道・廃棄物処理業 Electricity， gas and water supply and waste management service,58865,60378,54041,53265,51817,47326,51356,55687,52782,49842,49969,58299,59760,53445,52731,51290,46910,50976,55320,52370,49429,49692,80240,82798,74123,73302,71435,65291,71576,78290,74367,70489,70776,79357,81894,73301,72602,70776,64767,71099,77828,73850,69973,70428
5．建設業 Construction,444911,442452,441824,441391,455006,434856,412406,399572,404620,406757,406717,370903,371901,376268,379006,383010,367898,354465,337926,339237,341606,350701,589841,584605,582269,580791,597716,573330,545944,530409,538684,543327,544047,484686,487385,494539,499593,506361,488477,472646,452485,456120,461173,473453
6．卸売・小売業 Wholesale and retail trade,1217459,1204309,1177015,1184431,1180510,1179666,1192771,1183810,1172176,1158071,1161219,1120628,1114866,1091633,1100215,1101164,1100686,1110056,1106770,1109971,1093542,1089296,1655553,1626129,1580912,1584131,1573871,1571066,1586504,1573586,1558241,1537697,1540969,1505334,1496917,1465129,1476127,1476955,1474718,1485731,1479837,1482619,1459353,1453686
7．運輸・郵便業 Transport and postal services,491256,469975,460521,446102,441198,431888,427296,425756,425196,421521,414786,456497,442043,427429,416642,413298,407663,401528,393501,393760,391720,382994,633135,605612,596566,579864,576009,563688,557324,554789,553413,548403,539368,578109,564317,550196,540773,540783,533440,525447,515259,515279,512619,501198
8．宿泊・飲食サービス業 Accommodation and food service activities,500802,504081,510066,519119,495978,497855,504063,512542,503253,455128,435477,424173,427797,430525,443261,430443,435141,439696,441935,439110,399039,371010,599825,606445,616754,631040,606680,610055,618645,629897,619712,561450,536680,503149,511503,519047,539027,528152,535002,541702,545571,543203,494645,459903
9．情報通信業 Information and communications,562935,572544,584233,603151,616329,641901,680556,712081,739869,783556,814830,533747,539272,544783,566267,583001,605952,640820,666237,700088,738587,757253,930874,940311,953601,979147,998126,1018055,1057630,1084496,1107281,1150943,1194957,864467,875108,885762,922473,951573,968587,1003734,1023174,1054795,1092364,1119967
10．金融・保険業 Finance and insurance,316582,312158,310405,304884,304101,305181,307765,309094,307971,304803,306618,313801,308217,305256,300868,300043,302262,304756,305989,306223,301480,301786,471386,466352,464817,457308,457831,457332,458897,458584,454839,447773,450270,462412,456751,454936,450969,452331,453377,454821,454376,452474,443271,443720
11．不動産業 Real estate,245004,256460,248796,252044,258020,263844,259045,258272,260186,271453,266547,189544,196270,197224,203858,206235,211206,216784,216058,218149,218180,220757,310898,325321,315632,320115,327913,335263,329857,328854,331330,344731,339127,238978,248592,250957,260619,264910,271497,278874,278134,281023,281250,284579
