階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
2,1．農林水産業 Agriculture， forestry and fishing,43111,42496,43198,42692,40258,37677,35953,34284,34594,31009,26315
3,（1）農業 Agriculture,26308,25655,28111,28207,27137,24381,23376,21387,20688,19178,15929
3,（2）林業 Forestry,1582,1610,1736,1995,1816,1721,1599,1626,1591,1499,1773
3,（3）水産業 Fishing,15220,15231,13350,12490,11305,11575,10978,11270,12315,10332,8612
2,2．鉱業 Mining,59123,67851,77368,84451,71442,59659,56420,50063,40352,39990,33214
2,3．製造業 Manufacturing,6708963,6761083,6918221,6929142,6826643,6360583,6458168,6603990,6365900,5869865,6596517
3,（1）食料品 Food products and beverages,815239,817745,820783,824138,831056,810291,817553,861737,851244,829425,871368
3,（2）繊維製品 Textile products,82094,89789,79228,79028,89763,69468,69558,73888,68047,69511,87844
3,（3）パルプ・紙・紙加工品 Pulp， paper and paper products,113568,114313,104176,107202,109178,101388,99645,100689,99431,99032,116183
3,（4）化学 Chemicals,350111,366669,361115,359354,385037,385828,407746,408483,407630,416188,492949
3,（5）石油・石炭製品 Petroleum and coal products,59877,72541,74137,70052,71817,79499,77940,83974,71755,63046,87896
3,（6）窯業・土石製品 Non-metallic mineral products,145961,146243,142455,148339,141521,143260,153843,158062,137990,142461,138582
3,（7）一次金属 Basic metal,256124,277119,274422,267608,265801,264195,291311,320141,337506,358510,360314
3,（8）金属製品 Fabricated metal products,229386,249861,232678,236469,229431,233110,235280,238196,240816,202956,243863
3,（9）はん用・生産用・業務用機械 General-purpose， production and business oriented  machinery,824653,754171,733684,746052,779911,790824,815306,810946,778027,798741,930941
3,（10）電子部品・デバイス Electronic components and devices,317395,315903,291671,325502,370889,330214,375022,335830,325972,329572,342477
3,（11）電気機械 Electrical machinery， equipment and supplies,464301,440549,484547,594030,597357,555491,479447,591849,575153,537957,574684
3,（12）情報・通信機器 Information and communication electronics equipment,718334,832008,931530,808599,612042,396038,446678,435616,389991,339696,452197
3,（13）輸送用機械 Transport equipment,970955,1002360,1119566,1132605,1275095,1197063,1171426,1200650,1078436,804075,884122
3,（14）印刷業 Printing,760260,693217,651514,635174,580626,482113,482924,459566,458530,404593,461550
3,（15）その他の製造業 Others,600704,588597,616716,594988,487119,521801,534488,524363,545372,474104,551547
2,4．電気・ガス・水道・廃棄物処理業 Electricity， gas and water supply and waste management service,1091928,1167820,1178618,1244646,1250877,1266975,1311496,1337366,1400097,1403716,1442640
3,（1）電気業 Electricity supply,307585,351554,339725,367111,342395,339641,330069,323103,320577,318287,333288
3,（2）ガス・水道・廃棄物処理業 Gas and water supply， and waste management service,784343,816266,838893,877535,908482,927333,981427,1014263,1079520,1085429,1109351
2,5．建設業 Construction,4753712,4536429,4798656,4761879,5247958,5777006,6532627,6484882,6050205,6005917,6109595
2,6．卸売・小売業 Wholesale and retail trade,15870099,15988412,16554147,17256854,16061151,15584451,16311963,16572258,16161651,15061231,16269224
3,（1）卸売業 Wholesale trade,11763350,11650221,11847290,12763150,11392476,11060287,11653836,11835841,11423963,10440448,11558852
3,（2）小売業 Retail trade,4106749,4338191,4706857,4493704,4668675,4524164,4658127,4736417,4737688,4620783,4710372
2,7．運輸・郵便業 Transport and postal services,3707438,3752418,3923041,4084646,4101318,4035974,4185719,4285169,4126674,2531365,2870671
2,8．宿泊・飲食サービス業 Accommodation and food service activities,4048459,4162603,4298581,4388684,4584743,4548228,4623235,4583076,4483134,3257430,2747781
2,9．情報通信業 Information and communications,11292506,11636352,12314532,12623420,13323933,13450378,13499223,13791626,14381359,14129941,14909142
3,（1）通信・放送業 Communications and broadcasting,2819666,2817755,3193465,3337746,3625271,3886792,3981644,4065396,4137136,4158029,4233301
3,（2）情報サービス・映像音声文字情報制作業 Information services， and Image， sound and character information production and distribution,8472840,8818597,9121067,9285674,9698663,9563586,9517579,9726229,10244222,9971912,10675841
2,10．金融・保険業 Finance and insurance,5626812,5437239,5556661,5460633,5537258,5317991,5500396,5691385,5715313,5573180,5694182
2,11．不動産業 Real estate,2838837,2930652,3055211,3296735,3454477,3580422,3633326,3723596,3857414,3965521,3959834
3,（1）住宅賃貸業 Renting of dwellings,1366446,1367529,1382680,1439129,1466362,1491388,1523285,1549935,1600906,1635369,1669846
