階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
2,1．農林水産業 Agriculture， forestry and fishing,54600,56753,56562,55596,57495,59348,55275,49318,48859,43155,35289
3,（1）農業 Agriculture,32554,33963,36474,35093,36178,35155,32381,27703,25420,25113,19945
3,（2）林業 Forestry,2373,2353,2685,2953,2712,2555,2339,2339,2321,2154,2563
3,（3）水産業 Fishing,19673,20436,17403,17550,18605,21637,20555,19277,21118,15888,12781
2,2．鉱業 Mining,48857,47893,54441,61079,55605,48598,46391,44203,39725,39744,37079
2,3．製造業 Manufacturing,8390811,8140109,8078070,8284422,8376623,8318643,8367695,8291746,7839246,7600526,7988204
3,（1）食料品 Food products and beverages,896450,866003,841598,872684,951137,908992,928842,964910,933437,929108,894709
3,（2）繊維製品 Textile products,118582,108511,100877,103232,121784,95373,96323,102029,97186,91500,94184
3,（3）パルプ・紙・紙加工品 Pulp， paper and paper products,143182,125935,121092,120458,140495,116227,123253,122979,123840,125374,118622
3,（4）化学 Chemicals,886623,870919,918306,915172,923147,836362,884479,901391,898344,919401,965612
3,（5）石油・石炭製品 Petroleum and coal products,125097,120517,135807,129758,95913,83329,101837,111983,102845,72832,110200
3,（6）窯業・土石製品 Non-metallic mineral products,150894,130941,121530,143983,142956,136509,138455,141677,126867,139724,155670
3,（7）一次金属 Basic metal,268086,215530,212469,226485,207629,195882,223083,233984,208791,198790,267891
3,（8）金属製品 Fabricated metal products,349582,338278,328978,330470,352510,338698,344658,365704,357762,334372,356962
3,（9）はん用・生産用・業務用機械 General-purpose， production and business oriented machinery,1312105,1265642,1307731,1180584,1226299,1208278,1247473,1257125,1176427,1229895,1171279
3,（10）電子部品・デバイス Electronic components and devices,342908,340352,286956,304589,312078,332140,329196,367340,359458,417466,452375
3,（11）電気機械 Electrical machinery， equipment and supplies,530449,517840,515073,645515,613132,600669,680978,633661,637219,528959,484660
3,（12）情報・通信機器 Information and communication electronics equipment,672969,613843,650125,683165,735031,723336,680344,641154,553482,438717,447328
3,（13）輸送用機械 Transport equipment,1206234,1283853,1274678,1349851,1291177,1589331,1426636,1302537,1120553,1064624,1277303
3,（14）印刷業 Printing,724761,705402,665427,676743,612443,572859,568295,552807,545373,539706,555258
3,（15）その他の製造業 Others,662889,636545,597423,601733,650893,580657,593843,592464,597663,570060,636152
2,4．電気・ガス・水道・廃棄物処理業 Electricity， gas and water supply and waste management service,1333082,1376193,1449915,1545162,1572426,1513018,1560572,1610236,1734417,1701257,1653224
3,（1）電気業 Electricity supply,396924,416224,456790,507031,542810,505957,524424,539369,598061,579228,508811
3,（2）ガス・水道・廃棄物処理業 Gas and water supply， and waste management service,936158,959969,993125,1038131,1029617,1007060,1036148,1070867,1136357,1122028,1144414
2,5．建設業 Construction,3342456,3261154,3423287,3480198,3719121,4352396,4865110,4845236,4727133,4825527,4895594
2,6．卸売・小売業 Wholesale and retail trade,24994940,25058933,26306130,24522553,25121531,24516153,25299583,25881637,24776001,22649576,24533295
3,（1）卸売業 Wholesale trade,19784492,19631849,20516686,18583520,19126624,18427224,19190281,19704255,18601743,16515963,18281233
3,（2）小売業 Retail trade,5210449,5427084,5789444,5939033,5994907,6088929,6109301,6177382,6174258,6133613,6252062
2,7．運輸・郵便業 Transport and postal services,3680413,3920808,3986268,4158204,4422992,4468154,4520101,4552296,4497326,3142567,3325263
