階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
2,1．農林水産業 Agriculture， forestry and fishing,61424,63290,63804,60874,56877,51272,45456,42813,42918,36178,31585
3,（1）農業 Agriculture,37475,36040,40165,38943,35610,30167,28178,24199,23187,22544,19427
3,（2）林業 Forestry,2462,2477,2474,2909,2760,2416,2113,2054,2111,1936,1906
3,（3）水産業 Fishing,22478,25780,21461,19045,18507,18707,15168,16219,17241,11710,10256
2,2．鉱業 Mining,60801,57978,63318,63795,57283,51480,48462,44105,39622,38698,31732
2,3．製造業 Manufacturing,8700268,8494895,8308078,8390711,8377230,8472027,8526047,8476931,8059817,7774896,8120802
3,（1）食料品 Food products and beverages,932456,904539,881113,891519,941944,898714,925462,961301,920091,901469,879354
3,（2）繊維製品 Textile products,128841,116924,106942,105490,121484,95504,96976,102739,95726,89681,94200
3,（3）パルプ・紙・紙加工品 Pulp， paper and paper products,146544,127258,125548,122526,140140,115293,123903,121521,115027,112987,110647
3,（4）化学 Chemicals,882164,879485,892529,884636,933219,890007,917768,940589,974576,1031906,1010851
3,（5）石油・石炭製品 Petroleum and coal products,119264,116207,123434,118125,99055,88492,98068,99815,95148,67050,85933
3,（6）窯業・土石製品 Non-metallic mineral products,155899,137651,130529,152268,141944,135796,141258,135785,117250,124734,147077
3,（7）一次金属 Basic metal,263015,224291,221478,225162,210450,203893,213247,215158,191285,177563,205899
3,（8）金属製品 Fabricated metal products,399371,370885,354056,341131,348466,330090,337334,350595,332127,304530,336860
3,（9）はん用・生産用・業務用機械 General-purpose， production and business oriented machinery,1432873,1349195,1368553,1206722,1221788,1209272,1254231,1269670,1186693,1236077,1201092
3,（10）電子部品・デバイス Electronic components and devices,321027,339203,273600,308416,317903,358208,340676,398544,413816,489462,535332
3,（11）電気機械 Electrical machinery， equipment and supplies,525459,526672,517105,652455,612698,627161,728225,679319,696051,574876,549843
3,（12）情報・通信機器 Information and communication electronics equipment,646336,620605,669450,698076,727857,735080,703720,668359,582173,464610,478090
3,（13）輸送用機械 Transport equipment,1361761,1421714,1354552,1392098,1293296,1643566,1482410,1372651,1199552,1131599,1345577
3,（14）印刷業 Printing,707912,709293,675912,678974,611972,556284,550995,538478,527135,502885,517225
3,（15）その他の製造業 Others,685268,659224,619238,613067,655014,585461,611176,617008,611991,571891,626278
2,4．電気・ガス・水道・廃棄物処理業 Electricity， gas and water supply and waste management service,1532976,1552209,1577713,1611872,1658176,1549535,1570337,1596755,1718173,1674861,1555558
