項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
"1．民間最終消費支出 Private final consumption expenditure	",38480338,38863046,40165892,40704246,41469113,41508436,42550386,43331721,43540482,41914604,43956659
"2．地方政府等最終消費支出 Final consumption expenditure of local government and local social security funds	",6656357,6729002,6887654,6957973,7167855,7195744,7356980,7386202,7716927,7850867,8364920
"3．貯蓄 Saving	",19843866,20207755,21882000,21416884,23903609,23041971,22277039,22755663,19461886,19413422,21588926
"都民可処分所得の使用 Use of prefectural disposable income	",64980562,65799803,68935546,69079103,72540577,71746151,72184405,73473586,70719295,69178894,73910505
"4．雇用者報酬（都内活動による） Compensation of employees (from activities in Tokyo)	",49281476,49561596,49890238,50806798,51409873,52824497,53342007,54357226,53904595,53751672,53978404
"5．都外からの雇用者報酬（純） Compensation of employees from outside Tokyo， net	",-13623070,-13692138,-13769687,-13907946,-14201294,-14497445,-14394608,-14564060,-14263388,-14148520,-14274573
"6．営業余剰・混合所得 Operating surplus and mixed income	",28954632,29811455,32154120,30530464,32423809,31923097,33049133,33212118,32812878,27825397,30585937
"7．都外からの財産所得（純） Property income from outside Tokyo， net	",4272131,4810909,6801132,8253648,9299338,8361797,8445441,9193851,7542054,5679034,10415539
8．生産・輸入品に課される税（地方政府） Local taxes on production and imports,2936974,2881389,2924488,3015540,3700292,3665646,3681889,3795008,3842721,4046831,4383263
"9．（控除）補助金（地方政府） (less) Local government subsidies	",206777,168057,175337,266527,184167,194054,190440,180183,209601,571893,603389
"10．都外からの経常移転（純） Current transfers from outside Tokyo， net	",-6634804,-7405350,-8889408,-9352873,-9907274,-10337387,-11749016,-12340375,-12909966,-7403627,-10574676
"都民可処分所得 Prefectural disposable income	",64980562,65799803,68935546,69079103,72540577,71746151,72184405,73473586,70719295,69178894,73910505
"											",,,,,,,,,,,
"都民経済計算年報 令和3年度 Annual Report on Tokyo Metropolitan Accounts for 2021											",,,,,,,,,,,
"１　統合勘定  １　Integrated Accounts  (単位: 100万円　Millions of Yen)											",,,,,,,,,,,
"(2)　都民可処分所得と使用勘定 (2) Prefectural Disposable Income and its Use Account											",,,,,,,,,,,
"注）「地方政府等」は、地方政府と地方社会保障基金である。											",,,,,,,,,,,
"Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.											",,,,,,,,,,,
