"年[西暦]","住宅地 公示価格[千円毎平方メートル]","住宅地 基準地価格[千円毎平方メートル]","商業地 公示価格[千円毎平方メートル]","商業地 基準地価格[千円毎平方メートル]","工業地 公示価格[千円毎平方メートル]","工業地 基準地価格[千円毎平方メートル]","全用途平均 公示価格[千円毎平方メートル]","全用途平均 基準地価格[千円毎平方メートル]"
"2017","1683","1438","3942","4450","1698","1129","3143","3600"
"2018","1781","1508","4201","4810","1810","1193","3345","3879"
"2019","1890","1894","4554","5244","1954","1025","3612","4239"
"2020","2009","1981","5163","5410","2186","1057","4048","4369"
"2021","2366","2019","5064","5381","2206","1083","3997","4359"

"令和4年度港区行政資料集　公示価格・基準地価格における港区の用途別土地平均価格","Ver202107",,,,,,,
