"項目","階層","大分類","中分類","小分類","中間計","符号","項目名","1月（円）","2月（円）","3月（円）","4月（円）","5月（円）","6月（円）","7月（円）","8月（円）","9月（円）","10月（円）","11月（円）","12月（円）","年平均（円）"
"0","0","0","0","0","0","0","調査世帯数",611,617,612,595,611,618,,,,,,,
"0","0","0","0","0","0","0","世帯人員",2.90,2.92,2.93,2.93,2.92,2.92,,,,,,,
"0","0","0","0","0","0","0","有業人員",1.34,1.38,1.39,1.38,1.41,1.42,,,,,,,
"0","0","0","0","0","0","0","世帯主平均年齢",60.9,61.0,60.9,61.6,61.2,60.1,,,,,,,
"2","2","0","0","0","0","0","生計支出",332613,306814,374244,423343,339381,508317,,,,,,,
"2","3","0","0","0","0","0","消費支出",332613,306814,374244,392937,339381,305317,,,,,,,
"2","4","1","0","0","0","0","食料",95365,95646,105320,96883,103047,100302,,,,,,,
"2","5","1","1","0","0","0","穀類",6597,6728,7767,7532,7772,7398,,,,,,,
"2","6","1","1","1","0","0","米類",1472,1588,1905,2028,2024,1904,,,,,,,
"2","7","1","1","1","0","102","米",1472,1588,1905,2028,2024,1904,,,,,,,
"2","6","1","1","2","0","0","パン",3041,3150,3613,3352,3402,3222,,,,,,,
"2","7","1","1","2","0","120","食パン",950,946,1131,1029,1061,974,,,,,,,
"2","7","1","1","2","0","129","他のパン",2091,2204,2482,2323,2341,2247,,,,,,,
"2","6","1","1","3","0","0","麺類",1588,1490,1715,1709,1835,1848,,,,,,,
"2","7","1","1","3","0","130","生うどん・そば",353,297,305,285,289,289,,,,,,,
"2","7","1","1","3","0","131","乾うどん・そば",77,68,103,207,290,384,,,,,,,
"2","7","1","1","3","0","134","パスタ",141,147,195,177,181,127,,,,,,,
"2","7","1","1","3","0","133","中華麺",347,354,405,412,439,459,,,,,,,
"2","7","1","1","3","0","135","カップ麺",403,351,430,384,401,385,,,,,,,
"2","7","1","1","3","0","132","即席麺",172,177,194,160,159,133,,,,,,,
"2","7","1","1","3","0","139","他の麺類",95,97,81,84,76,70,,,,,,,
"2","6","1","1","4","0","0","他の穀類",496,500,534,443,511,424,,,,,,,
"2","7","1","1","4","0","140","小麦粉",38,44,43,52,56,44,,,,,,,
"2","7","1","1","4","0","150","もち",163,129,86,68,57,44,,,,,,,
"2","7","1","1","4","0","160","他の穀類のその他",296,327,405,323,399,337,,,,,,,
"2","5","1","2","0","0","0","魚介類",6581,6629,6908,6508,6669,6391,,,,,,,
"2","6","1","2","1","0","0","生鮮魚介",3768,3682,3889,3832,3827,3645,,,,,,,
"2","7","1","2","1","170-189","0","鮮魚",3435,3321,3512,3581,3530,3393,,,,,,,
"2","7","1","2","1","170-189","170","まぐろ",553,604,712,671,762,742,,,,,,,
"2","7","1","2","1","170-189","172","あじ",41,62,82,109,96,92,,,,,,,
"2","7","1","2","1","170-189","173","いわし",41,51,53,37,35,42,,,,,,,
"2","7","1","2","1","170-189","174","かつお",70,61,90,138,194,207,,,,,,,
"2","7","1","2","1","170-189","175","かれい",69,65,88,66,55,37,,,,,,,
"2","7","1","2","1","170-189","176","さけ",429,449,526,538,514,483,,,,,,,
"2","7","1","2","1","170-189","177","さば",62,60,59,65,75,58,,,,,,,
"2","7","1","2","1","170-189","178","さんま",6,5,3,6,15,4,,,,,,,
"2","7","1","2","1","170-189","180","たい",55,85,93,89,90,81,,,,,,,
"2","7","1","2","1","170-189","181","ぶり",330,297,252,301,201,179,,,,,,,
"2","7","1","2","1","170-189","182","いか",108,159,178,208,178,149,,,,,,,
