"項目","階層","大分類","中分類","小分類","中間計","符号","項目名","都平均／実数（円）","都平均／対前年同月増加率（％）","35歳未満（円）","35～39歳（円）","40～44歳（円）","45～49歳（円）","50～54歳（円）","55～59歳（円）","60～64歳（円）","65歳以上（円）","（再掲）75歳以上（円）"
"0","0","0","0","0","0","0","世帯数分布",10000,-,294,552,858,745,1039,1196,1038,4278,2484
"0","0","0","0","0","0","0","調査世帯数",595,-,18,29,50,45,64,70,59,260,154
"0","0","0","0","0","0","0","世帯人員",2.93,-,3.46,3.43,3.74,3.45,3.74,3.12,2.78,2.36,2.36
"0","0","0","0","0","0","0","有業人員",1.38,-,1.62,1.65,1.54,1.74,2.10,1.89,1.83,0.82,0.65
"0","0","0","0","0","0","0","世帯主平均年齢",61.6,-,31.7,37.3,42.3,47.2,52.5,56.8,61.8,76.7,81.6
"2","2","0","0","0","0","0","生計支出",423343,14.7,304243,376394,401016,380523,610175,732205,374779,329577,361723
"2","3","0","0","0","0","0","消費支出",392937,6.5,304243,376394,401016,380523,610175,478022,374779,329577,361723
"2","4","1","0","0","0","0","食料",96883,-1.3,88088,95434,105788,97905,109524,102132,92607,92211,88319
"2","5","1","1","0","0","0","穀類",7532,5.7,5561,6197,7724,7423,8376,7256,7740,7642,7521
"2","6","1","1","1","0","0","米類",2028,23.2,1347,849,1451,1813,2007,2330,2287,2238,2426
"2","7","1","1","1","0","102","米",2028,23.2,1347,849,1451,1813,2007,2330,2287,2238,2426
"2","6","1","1","2","0","0","パン",3352,0.9,2323,3151,4282,3360,3760,2750,3561,3278,3131
"2","7","1","1","2","0","120","食パン",1029,1.2,977,893,1070,917,888,792,1126,1138,1193
"2","7","1","1","2","0","129","他のパン",2323,0.8,1346,2257,3212,2442,2872,1959,2435,2140,1938
"2","6","1","1","3","0","0","麺類",1709,0.8,1575,1653,1493,1744,2144,1639,1524,1722,1632
"2","7","1","1","3","0","130","生うどん・そば",285,11.8,275,196,267,256,339,287,209,310,282
"2","7","1","1","3","0","131","乾うどん・そば",207,54.5,102,97,86,156,126,112,187,312,363
"2","7","1","1","3","0","134","パスタ",177,22.9,173,287,143,157,298,196,109,155,132
"2","7","1","1","3","0","133","中華麺",412,-1.4,358,414,346,409,538,390,378,414,382
"2","7","1","1","3","0","135","カップ麺",384,-17.8,486,351,407,523,494,378,410,321,285
"2","7","1","1","3","0","132","即席麺",160,-15.8,136,252,199,197,181,172,160,128,102
"2","7","1","1","3","0","139","他の麺類",84,-3.4,45,57,44,46,169,104,72,82,87
"2","6","1","1","4","0","0","他の穀類",443,-4.1,316,545,498,507,464,536,368,404,333
"2","7","1","1","4","0","140","小麦粉",52,-10.3,35,22,23,30,41,55,30,73,75
"2","7","1","1","4","0","150","もち",68,65.9,12,22,26,39,47,19,33,119,115
"2","7","1","1","4","0","160","他の穀類のその他",323,-11.0,268,501,449,438,376,461,305,211,144
"2","5","1","2","0","0","0","魚介類",6508,3.3,2800,3060,4970,5333,6947,6978,5293,7778,8300
"2","6","1","2","1","0","0","生鮮魚介",3832,5.1,1433,1711,3069,3388,4160,4314,3217,4436,4647
"2","7","1","2","1","170-189","0","鮮魚",3581,4.9,1422,1607,2897,3190,3933,4015,3002,4124,4342
"2","7","1","2","1","170-189","170","まぐろ",671,7.4,351,304,360,531,793,728,332,863,843
"2","7","1","2","1","170-189","172","あじ",109,17.2,15,31,46,105,72,133,69,151,178
"2","7","1","2","1","170-189","173","いわし",37,-22.9,33,13,11,17,41,35,35,50,72
"2","7","1","2","1","170-189","174","かつお",138,-27.0,37,79,69,67,158,148,103,181,169
"2","7","1","2","1","170-189","175","かれい",66,0.0,-,-,14,93,39,32,53,104,134
"2","7","1","2","1","170-189","176","さけ",538,5.3,349,317,568,682,559,653,369,551,510
"2","7","1","2","1","170-189","177","さば",65,8.3,73,12,38,48,81,113,41,68,65
"2","7","1","2","1","170-189","178","さんま",6,20.0,-,-,-,15,3,6,6,8,14
"2","7","1","2","1","170-189","180","たい",89,-32.1,95,35,70,73,104,147,44,93,118
"2","7","1","2","1","170-189","181","ぶり",301,15.3,243,206,242,225,291,418,296,314,421
"2","7","1","2","1","170-189","182","いか",208,8.3,74,74,96,138,178,260,205,262,262
