"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","35歳未満／実数（円）","35歳未満／構成比（％）","35～39歳／実数（円）","35～39歳／構成比（％）","40～44歳／実数（円）","40～44歳／構成比（％）","45～49歳／実数（円）","45～49歳／構成比（％）","50～54歳／実数（円）","50～54歳／構成比（％）","55～59歳／実数（円）","55～59歳／構成比（％）","60～64歳／実数（円）","60～64歳／構成比（％）","65歳以上／実数（円）","65歳以上／構成比（％）","（再掲）75歳以上／実数（円）","（再掲）75歳以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,305,-,577,-,675,-,1011,-,1142,-,1045,-,1142,-,4103,-,2253,-
"0","0","0","0","0","調査世帯数",611,-,20,-,36,-,43,-,57,-,68,-,65,-,68,-,254,-,140,-
"0","0","0","0","0","世帯人員",2.90,-,2.97,-,3.45,-,4.14,-,3.56,-,3.40,-,3.02,-,2.63,-,2.35,-,2.30,-
"0","0","0","0","0","有業人員",1.34,-,1.82,-,1.64,-,1.56,-,1.62,-,1.84,-,1.83,-,1.72,-,0.77,-,0.52,-
"0","0","0","0","0","世帯主平均年齢",60.9,-,31.7,-,37.5,-,42.1,-,47.3,-,52.0,-,57.1,-,61.9,-,76.0,-,80.9,-
"2","2","0","0","0","生計支出",332613,-,299307,-,302115,-,406422,-,340719,-,412524,-,401304,-,328671,-,286594,-,269802,-
"2","3","0","0","0","消費支出",332613,100.0,299307,100.0,302115,100.0,406422,100.0,340719,100.0,412524,100.0,401304,100.0,328671,100.0,286594,100.0,269802,100.0
"2","4","1","0","0","食料",90041,27.1,86104,28.8,94563,31.3,96726,23.8,92574,27.2,103908,25.2,98060,24.4,91394,27.8,81695,28.5,73618,27.3
"2","5","1","1","0","穀類",6479,1.9,3967,1.3,6808,2.3,7286,1.8,6956,2.0,6822,1.7,6188,1.5,6926,2.1,6223,2.2,5660,2.1
"2","6","1","1","1","米類",1417,0.4,891,0.3,1232,0.4,1242,0.3,1199,0.4,1094,0.3,1468,0.4,1841,0.6,1523,0.5,1505,0.6
"2","6","1","1","2","パン",3009,0.9,1468,0.5,3596,1.2,3597,0.9,3201,0.9,3195,0.8,2840,0.7,3107,0.9,2860,1.0,2612,1.0
"2","6","1","1","3","麺類",1563,0.5,1277,0.4,1489,0.5,1767,0.4,1907,0.6,1937,0.5,1368,0.3,1550,0.5,1427,0.5,1172,0.4
"2","6","1","1","4","他の穀類",490,0.1,331,0.1,490,0.2,680,0.2,649,0.2,597,0.1,512,0.1,429,0.1,413,0.1,371,0.1
"2","5","1","2","0","魚介類",6415,1.9,2536,0.8,4642,1.5,5299,1.3,4589,1.3,6943,1.7,6145,1.5,7374,2.2,7241,2.5,7145,2.6
"2","6","1","2","1","生鮮魚介",3725,1.1,1434,0.5,2534,0.8,3018,0.7,2596,0.8,4106,1.0,3498,0.9,4488,1.4,4196,1.5,4117,1.5
"2","6","1","2","2","塩干魚介",1095,0.3,543,0.2,950,0.3,926,0.2,836,0.2,1103,0.3,1194,0.3,1135,0.3,1209,0.4,1175,0.4
"2","6","1","2","3","魚肉練製品",686,0.2,231,0.1,584,0.2,411,0.1,545,0.2,869,0.2,626,0.2,727,0.2,768,0.3,714,0.3
"2","6","1","2","4","他の魚介加工品",909,0.3,327,0.1,574,0.2,943,0.2,612,0.2,866,0.2,826,0.2,1024,0.3,1068,0.4,1140,0.4
"2","5","1","3","0","肉類",8773,2.6,6469,2.2,8007,2.7,9825,2.4,9112,2.7,10905,2.6,10788,2.7,8775,2.7,7688,2.7,6610,2.4
"2","6","1","3","1","生鮮肉",7464,2.2,5491,1.8,6362,2.1,8295,2.0,7891,2.3,9274,2.2,9431,2.4,7495,2.3,6510,2.3,5507,2.0
"2","6","1","3","2","加工肉",1309,0.4,978,0.3,1646,0.5,1530,0.4,1220,0.4,1631,0.4,1357,0.3,1279,0.4,1178,0.4,1103,0.4
"2","5","1","4","0","乳卵類",4527,1.4,5097,1.7,5078,1.7,4719,1.2,4332,1.3,4685,1.1,4886,1.2,4105,1.2,4405,1.5,4119,1.5
"2","6","1","4","1","牛乳",1356,0.4,1088,0.4,1674,0.6,1562,0.4,1664,0.5,1254,0.3,1182,0.3,1029,0.3,1385,0.5,1339,0.5
"2","6","1","4","2","乳製品",2254,0.7,3425,1.1,2551,0.8,2211,0.5,1745,0.5,2304,0.6,2763,0.7,2124,0.6,2149,0.7,1986,0.7
"2","6","1","4","3","卵",917,0.3,584,0.2,853,0.3,946,0.2,923,0.3,1127,0.3,940,0.2,952,0.3,871,0.3,794,0.3
"2","5","1","5","0","野菜・海藻",9928,3.0,5603,1.9,7953,2.6,8950,2.2,8565,2.5,11237,2.7,9915,2.5,10382,3.2,10536,3.7,10411,3.9
"2","6","1","5","1","生鮮野菜",6800,2.0,3802,1.3,5689,1.9,6410,1.6,5869,1.7,7877,1.9,6875,1.7,7233,2.2,7033,2.5,6938,2.6
"2","6","1","5","2","乾物・海藻",765,0.2,247,0.1,593,0.2,561,0.1,721,0.2,1023,0.2,636,0.2,679,0.2,856,0.3,885,0.3
"2","6","1","5","3","大豆加工品",1199,0.4,587,0.2,917,0.3,1148,0.3,1008,0.3,1247,0.3,1296,0.3,1147,0.3,1317,0.5,1236,0.5
"2","6","1","5","4","他の野菜・海藻加工品",1164,0.3,967,0.3,754,0.2,832,0.2,967,0.3,1090,0.3,1108,0.3,1322,0.4,1331,0.5,1351,0.5
"2","5","1","6","0","果物",3805,1.1,1605,0.5,2900,1.0,3711,0.9,2984,0.9,3384,0.8,3326,0.8,3370,1.0,4675,1.6,4703,1.7
"2","6","1","6","1","生鮮果物",3282,1.0,1524,0.5,2473,0.8,3285,0.8,2575,0.8,2937,0.7,2924,0.7,2871,0.9,4001,1.4,4000,1.5
"2","6","1","6","2","果物加工品",524,0.2,81,0.0,427,0.1,426,0.1,409,0.1,447,0.1,402,0.1,499,0.2,674,0.2,703,0.3
"2","5","1","7","0","油脂・調味料",4226,1.3,3103,1.0,3617,1.2,4152,1.0,3808,1.1,5402,1.3,4809,1.2,5087,1.5,3794,1.3,3574,1.3
"2","6","1","7","1","油脂",477,0.1,334,0.1,508,0.2,227,0.1,380,0.1,500,0.1,497,0.1,508,0.2,527,0.2,609,0.2
"2","6","1","7","2","調味料",3749,1.1,2769,0.9,3110,1.0,3925,1.0,3428,1.0,4902,1.2,4312,1.1,4579,1.4,3267,1.1,2965,1.1
"2","5","1","8","0","菓子類",7263,2.2,6093,2.0,8981,3.0,9277,2.3,9395,2.8,7286,1.8,7653,1.9,7034,2.1,6210,2.2,6007,2.2
"2","5","1","9","0","調理食品",13758,4.1,13554,4.5,13975,4.6,14436,3.6,12771,3.7,14723,3.6,13598,3.4,15443,4.7,13177,4.6,12105,4.5
"2","6","1","9","1","主食的調理食品",6139,1.8,7179,2.4,6051,2.0,6141,1.5,6127,1.8,5949,1.4,6427,1.6,6415,2.0,5980,2.1,5457,2.0
"2","6","1","9","2","他の調理食品",7618,2.3,6375,2.1,7924,2.6,8294,2.0,6644,1.9,8774,2.1,7170,1.8,9028,2.7,7197,2.5,6648,2.5
"2","5","1","10","0","飲料",4996,1.5,5672,1.9,5115,1.7,5454,1.3,5686,1.7,5782,1.4,5769,1.4,5478,1.7,4134,1.4,2963,1.1
"2","6","1","10","1","茶類",1109,0.3,620,0.2,1100,0.4,1291,0.3,957,0.3,1286,0.3,1229,0.3,1202,0.4,1048,0.4,978,0.4
"2","6","1","10","2","コーヒー・ココア",1241,0.4,945,0.3,1532,0.5,1021,0.3,1547,0.5,1387,0.3,1756,0.4,1298,0.4,995,0.3,631,0.2
"2","6","1","10","3","他の飲料",2646,0.8,4106,1.4,2483,0.8,3141,0.8,3182,0.9,3109,0.8,2784,0.7,2977,0.9,2091,0.7,1354,0.5
"2","5","1","11","0","酒類",3319,1.0,3458,1.2,2287,0.8,1719,0.4,2403,0.7,4333,1.1,5644,1.4,3036,0.9,3146,1.1,2241,0.8
"2","5","1","12","0","外食",16554,5.0,28948,9.7,25201,8.3,21898,5.4,21974,6.4,22406,5.4,19340,4.8,14385,4.4,10467,3.7,8081,3.0
"2","6","1","12","1","一般外食",16172,4.9,28298,9.5,24381,8.1,19885,4.9,20861,6.1,22203,5.4,18968,4.7,14347,4.4,10467,3.7,8081,3.0
"2","6","1","12","2","学校給食",382,0.1,649,0.2,820,0.3,2013,0.5,1113,0.3,202,0.0,372,0.1,38,0.0,-,-,-,-
"2","4","2","0","0","住居",18454,5.5,60683,20.3,22548,7.5,22232,5.5,23304,6.8,22033,5.3,17192,4.3,16334,5.0,12839,4.5,13619,5.0
"2","5","2","1","0","家賃地代",12322,3.7,58232,19.5,15590,5.2,21577,5.3,23222,6.8,13013,3.2,13006,3.2,5214,1.6,5854,2.0,7023,2.6
"2","5","2","2","0","設備修繕・維持",6132,1.8,2451,0.8,6958,2.3,655,0.2,82,0.0,9020,2.2,4186,1.0,11120,3.4,6985,2.4,6596,2.4
"2","6","2","2","1","設備材料",1629,0.5,16,0.0,161,0.1,57,0.0,2,0.0,3873,0.9,687,0.2,245,0.1,2615,0.9,1886,0.7
"2","6","2","2","2","工事その他のサービス",4504,1.4,2435,0.8,6798,2.3,598,0.1,79,0.0,5147,1.2,3499,0.9,10875,3.3,4370,1.5,4710,1.7
"2","4","3","0","0","光熱・水道",22776,6.8,19942,6.7,17463,5.8,22057,5.4,19207,5.6,22245,5.4,24108,6.0,26312,8.0,23555,8.2,23366,8.7
"2","5","3","1","0","電気代",9869,3.0,10085,3.4,8424,2.8,8196,2.0,8605,2.5,8850,2.1,9253,2.3,12207,3.7,10433,3.6,10680,4.0
"2","5","3","2","0","ガス代",7597,2.3,6919,2.3,4762,1.6,8666,2.1,5325,1.6,7869,1.9,8456,2.1,8067,2.5,8005,2.8,7835,2.9
"2","5","3","3","0","他の光熱",604,0.2,39,0.0,550,0.2,272,0.1,348,0.1,289,0.1,642,0.2,696,0.2,823,0.3,839,0.3
"2","5","3","4","0","上下水道料",4706,1.4,2899,1.0,3728,1.2,4924,1.2,4929,1.4,5238,1.3,5757,1.4,5342,1.6,4294,1.5,4012,1.5
"2","4","4","0","0","家具・家事用品",15239,4.6,9151,3.1,24917,8.2,15256,3.8,7820,2.3,20989,5.1,10434,2.6,17279,5.3,15211,5.3,13214,4.9
"2","5","4","1","0","家庭用耐久財",6689,2.0,2482,0.8,16271,5.4,4606,1.1,786,0.2,8292,2.0,1222,0.3,7576,2.3,8152,2.8,5721,2.1
"2","6","4","1","1","家事用耐久財",2447,0.7,2482,0.8,5598,1.9,-,-,533,0.2,6258,1.5,532,0.1,1177,0.4,2657,0.9,2909,1.1
"2","6","4","1","2","冷暖房用器具",3060,0.9,-,-,1052,0.3,4419,1.1,253,0.1,61,0.0,477,0.1,3534,1.1,5400,1.9,2812,1.0
"2","6","4","1","3","一般家具",1181,0.4,-,-,9621,3.2,187,0.0,-,-,1973,0.5,213,0.1,2865,0.9,95,0.0,-,-
"2","5","4","2","0","室内装備・装飾品",410,0.1,104,0.0,210,0.1,774,0.2,707,0.2,883,0.2,324,0.1,278,0.1,254,0.1,56,0.0
"2","5","4","3","0","寝具類",1668,0.5,699,0.2,380,0.1,1278,0.3,213,0.1,5392,1.3,2362,0.6,581,0.2,1432,0.5,2530,0.9
"2","5","4","4","0","家事雑貨",2904,0.9,2997,1.0,3610,1.2,5678,1.4,3308,1.0,3163,0.8,2325,0.6,4428,1.3,1892,0.7,1716,0.6
"2","5","4","5","0","家事用消耗品",3051,0.9,2810,0.9,3525,1.2,2804,0.7,2672,0.8,3051,0.7,3677,0.9,4230,1.3,2650,0.9,2234,0.8
"2","5","4","6","0","家事サービス",517,0.2,59,0.0,921,0.3,116,0.0,134,0.0,209,0.1,524,0.1,187,0.1,831,0.3,958,0.4
"2","4","5","0","0","被服及び履物",13240,4.0,12139,4.1,14700,4.9,13162,3.2,16166,4.7,11856,2.9,22381,5.6,19178,5.8,8813,3.1,8134,3.0
"2","5","5","1","0","和服",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"2","5","5","2","0","洋服",6400,1.9,6897,2.3,8804,2.9,6433,1.6,8054,2.4,5376,1.3,9502,2.4,12043,3.7,3535,1.2,4019,1.5
"2","6","5","2","1","男子用洋服",2662,0.8,3583,1.2,4147,1.4,809,0.2,2452,0.7,2780,0.7,3787,0.9,5565,1.7,1615,0.6,2045,0.8
"2","6","5","2","2","婦人用洋服",3377,1.0,2466,0.8,1890,0.6,4834,1.2,4603,1.4,2477,0.6,5653,1.4,6478,2.0,1920,0.7,1973,0.7
"2","6","5","2","3","子供用洋服",360,0.1,848,0.3,2767,0.9,790,0.2,999,0.3,119,0.0,63,0.0,-,-,-,-,-,-
"2","5","5","3","0","シャツ・セーター類",2153,0.6,1899,0.6,1595,0.5,1640,0.4,2726,0.8,1612,0.4,5091,1.3,1881,0.6,1672,0.6,1125,0.4
"2","6","5","3","1","男子用シャツ・セーター類",660,0.2,1129,0.4,532,0.2,555,0.1,1073,0.3,662,0.2,1434,0.4,516,0.2,401,0.1,169,0.1
"2","6","5","3","2","婦人用シャツ・セーター類",1380,0.4,427,0.1,261,0.1,912,0.2,1316,0.4,870,0.2,3641,0.9,1365,0.4,1271,0.4,956,0.4
"2","6","5","3","3","子供用シャツ・セーター類",113,0.0,344,0.1,802,0.3,173,0.0,337,0.1,79,0.0,16,0.0,-,-,-,-,-,-
"2","5","5","4","0","下着類",1033,0.3,373,0.1,259,0.1,1036,0.3,1281,0.4,824,0.2,1566,0.4,1476,0.4,928,0.3,732,0.3
"2","6","5","4","1","男子用下着類",278,0.1,-,-,41,0.0,401,0.1,299,0.1,195,0.0,148,0.0,428,0.1,321,0.1,292,0.1
"2","6","5","4","2","婦人用下着類",708,0.2,287,0.1,68,0.0,470,0.1,826,0.2,604,0.1,1360,0.3,1047,0.3,607,0.2,439,0.2
"2","6","5","4","3","子供用下着類",47,0.0,86,0.0,150,0.0,166,0.0,156,0.0,25,0.0,59,0.0,-,-,-,-,-,-
"2","5","5","5","0","生地・糸類",102,0.0,86,0.0,133,0.0,70,0.0,8,0.0,35,0.0,189,0.0,59,0.0,136,0.0,107,0.0
"2","5","5","6","0","他の被服",897,0.3,921,0.3,799,0.3,1078,0.3,1495,0.4,1184,0.3,1057,0.3,593,0.2,696,0.2,604,0.2
"2","5","5","7","0","履物類",2033,0.6,1796,0.6,2903,1.0,2511,0.6,2040,0.6,2484,0.6,3320,0.8,2576,0.8,1244,0.4,1067,0.4
"2","5","5","8","0","被服関連サービス",623,0.2,166,0.1,207,0.1,394,0.1,562,0.2,341,0.1,1655,0.4,551,0.2,603,0.2,481,0.2
"2","4","6","0","0","保健医療",17257,5.2,13942,4.7,13586,4.5,10350,2.5,12493,3.7,10990,2.7,23976,6.0,14657,4.5,21087,7.4,21737,8.1
"2","5","6","1","0","医薬品",3027,0.9,1347,0.5,2112,0.7,1922,0.5,2642,0.8,2328,0.6,3284,0.8,2865,0.9,3731,1.3,4244,1.6
"2","5","6","2","0","健康保持用摂取品",900,0.3,734,0.2,253,0.1,498,0.1,676,0.2,384,0.1,511,0.1,1485,0.5,1204,0.4,989,0.4
"2","5","6","3","0","保健医療用品・器具",3648,1.1,4211,1.4,6886,2.3,3398,0.8,3626,1.1,2052,0.5,7214,1.8,2644,0.8,3012,1.1,1614,0.6
"2","5","6","4","0","保健医療サービス",9682,2.9,7650,2.6,4335,1.4,4532,1.1,5548,1.6,6226,1.5,12966,3.2,7662,2.3,13140,4.6,14890,5.5
"2","4","7","0","0","交通・通信",30435,9.2,33808,11.3,28837,9.5,40011,9.8,23858,7.0,28978,7.0,68162,17.0,29195,8.9,21598,7.5,14950,5.5
"2","5","7","1","0","交通",8532,2.6,13474,4.5,14696,4.9,11777,2.9,9251,2.7,10047,2.4,11378,2.8,7532,2.3,5718,2.0,3294,1.2
"2","5","7","2","0","自動車等関係費",10170,3.1,8423,2.8,7812,2.6,14980,3.7,4228,1.2,5857,1.4,37416,9.3,9390,2.9,5784,2.0,2408,0.9
"2","6","7","2","1","自動車等購入",2823,0.8,-,-,-,-,-,-,-,-,-,-,27021,6.7,-,-,-,-,-,-
"2","6","7","2","2","自転車購入",103,0.0,710,0.2,-,-,1203,0.3,-,-,-,-,-,-,-,-,-,-,-,-
"2","6","7","2","3","自動車等維持",7244,2.2,7713,2.6,7812,2.6,13777,3.4,4228,1.2,5857,1.4,10395,2.6,9390,2.9,5784,2.0,2408,0.9
"2","5","7","3","0","通信",11733,3.5,11911,4.0,6328,2.1,13253,3.3,10379,3.0,13074,3.2,19367,4.8,12273,3.7,10095,3.5,9248,3.4
"2","4","8","0","0","教育",22721,6.8,3155,1.1,4856,1.6,61965,15.2,60324,17.7,83259,20.2,22549,5.6,1694,0.5,7,0.0,-,-
