,平成22年度[％],平成23年度[％],平成24年度[％],平成25年度[％],平成26年度[％]
区全域,66.3,67.3,67.7,67.9,68.3
北部,55.2,56.5,56.9,57.1,57.4
南部,80.4,81.3,81.6,81.8,82.5
