倉庫名,,白鬚東倉庫,第四吾嬬小学校倉庫(寄託),八広防災備蓄倉庫（寄託）(区防災備蓄倉庫),ＮＴＴドコモ墨田ビル内防災備蓄倉庫（寄託)(区防災備蓄倉庫),太平四丁目防災備蓄倉庫（寄託）(区防災備蓄倉庫),東墨田防災備蓄倉庫（寄託）(区防災備蓄倉庫)
所在地,,堤通2-7-13･14,京島3-64-9,,,,
設置年度,,昭和57年度,昭和34年度,,,,
面積[㎡],,9724,19,,,,
品名,毛布(枚),164102,1000,5000,6735,,
品名,カーペット(枚),196555,1000,1050,,5325,1950
品名,ビニールゴザ(枚),,,,,1663,
品名,肌着(上下組)(組),40426,,,,9728,
品名,安全キャンドル(本),14752,,,,9000,
品名,家型テント(張),,,,,30,
品名,アルファ化米(食),39000,,,,,
品名,アルファ化米（わかめ御飯）(食),,,,,11000,
品名,アルファ化米（五目御飯）(食),,,,,39000,
品名,アルファ化米（白粥）（タンパク制限あるもの含む）(食),,,,,8100,
品名,アルファ化米（白飯）(食),,,,,3000,
品名,クラッカー(食),,,,,5250,
