名称,面積[㎡],開設年度
柳島小学校,61.6,平成3年度
第三吾嬬小学校,62.78,平成3年度
梅若小学校,35.13,平成3年度
立花幼稚園外,49.37,平成4年度
錦糸小学校,62.34,平成4年度
業平小学校,56.25,平成4年度
立花吾嬬の森小学校,62.78,平成5年度
旧隅田小学校,24.06,平成5年度
曳舟小学校,62.78,平成5年度
横川小学校,25.15,平成6年度
八広小学校,31.39,平成6年度
第三寺島小学校,36.7,平成6年度
第四吾嬬小学校,56.44,平成7年度
第二寺島小学校,58.3,平成7年度
隅田小学校,31.87,平成7年度
外手小学校,21.14,平成8年度
言問小学校,28.1,平成8年度
第一寺島小学校,24.9,平成8年度
中川小学校,57.4,平成8年度
東吾嬬小学校,25.38,平成8年度
小梅小学校,56.94,平成8年度
二葉小学校,60.29,平成8年度
本所中学校,57.04,平成8年度
両国中学校,31.06,平成8年度
竪川中学校,17.16,平成8年度
錦糸中学校,60.77,平成8年度
中和小学校,60.9,平成9年度
菊川小学校,57.22,平成9年度
旧吾嬬第一中学校,59.87,平成9年度
吾嬬第二中学校,60.3,平成9年度
旧鐘淵中学校,61.11,平成9年度
吾嬬立花中学校,55.35,平成9年度
緑小学校,30,平成26年度
両国小学校,23.05,平成10年度
寺島中学校,29.5,平成11年度
旧向島中学校,16.5,平成11年度
押上小学校,64,平成13年度
文花中学校,61.95,平成15年度
墨田中学校,64,平成24年度
八広地域プラザ,99.5,平成25年度
桜堤中学校,119.1,平成25年度
社会福祉会館,5.8,平成26年度
計,2025.27,42箇所
