地区,,,範囲,指定年月日等,,,終了年月日
避難地不燃化促進区域,,1　両国地区,避難地とその周辺120ｍ,区昭和54.9.1　,都昭和55.10.17,国昭和55.10.17,H2.3.31
避難地不燃化促進区域,,2　文花地区,避難地とその周辺120ｍ,区昭和54.9.1　,都昭和57.4.1,国昭和58.4.30,国平成5.3.31､都平成10.3.31
避難地不燃化促進区域,,3　錦糸地区,避難地とその周辺120ｍ,区昭和56.9.1,都昭和57.7.26,国昭和57.7.26,H4.3.31
避難路不燃化促進区域,一次避難路,1　水戸街道,避難路等の両側30ｍ,区昭和56.9.1,都昭和60.4.1,国昭和63.6.1,国平成15.3.31､都平成17.3.31
避難路不燃化促進区域,一次避難路,2　明治通り,避難路等の両側30ｍ,区昭和56.9.1,都昭和60.4.1,国昭和61.6.19,国平成8.3.31､都平成17.3.31
避難路不燃化促進区域,一次避難路,3　八広はなみずき通り,避難路等の両側30ｍ,区昭和56.9.1,都平成16.10.27,国平成16.10.27,
避難路不燃化促進区域,一次避難路,4　清澄・浅草通り,避難路等の両側30ｍ,区昭和56.9.1,都昭和59.4.1,,H10.3.31
避難路不燃化促進区域,一次避難路,5　四ツ目通り,避難路等の両側30ｍ,区昭和56.9.1,,,H9.3.31
避難路不燃化促進区域,一次避難路,6　蔵前橋通り,避難路等の両側30ｍ,区昭和56.9.1,,,H9.3.31
避難路不燃化促進区域,一次避難路,7　京葉道路,避難路等の両側30ｍ,区昭和56.9.1,,,H4.3.31
避難路不燃化促進区域,二次避難路,8　新大橋通り,避難路等の両側30ｍ,区昭和57.9.1,,,H10.3.31
避難路不燃化促進区域,二次避難路,(9　清澄通り),避難路等の両側30ｍ,区昭和57.9.1,(都昭和59.4.1),,H10.3.31
避難路不燃化促進区域,二次避難路,10　三ツ目通り,避難路等の両側30ｍ,区昭和57.9.1,,,H10.3.31
避難路不燃化促進区域,二次避難路,11　桜橋通り,避難路等の両側30ｍ,区昭和57.9.1,,,H5.3.31
避難路不燃化促進区域,二次避難路,12　新あずま通り,避難路等の両側30ｍ,区昭和57.9.1,,,
避難路不燃化促進区域,二次避難路,13　墨堤通り,避難路等の両側30ｍ,区昭和57.9.1,,,H5.3.31
避難路不燃化促進区域,二次避難路,14　八広中央通り,避難路等の両側30ｍ,区昭和57.9.1,,,
避難路不燃化促進区域,二次避難路,15　十間橋通り,避難路等の両側30ｍ,区昭和57.9.1,,,H21.3.31
避難路不燃化促進区域,二次避難路,(16　丸八通り・明治通り),避難路等の両側30ｍ,区昭和57.9.1,(都昭和60.4.1),（国昭和61.6.19),国平成8.3.31､都平成17.3.31
避難路不燃化促進区域,二次避難路,17 鐘ヶ淵通り,避難路等の両側30ｍ,区平成18.10.1,都平成18.10.1,国平成18.10.1,
避難路不燃化促進区域,二次避難路,18　墨堤通り,避難路等の片側30ｍ,区平成18.10.1,都平成18.10.1,国平成18.10.1,
防災活動拠点不燃化促進区域,,小学校等の周辺30m以内の地区,学校等の境界から30ｍ,区昭和58.9.1,"両国小､中和小､菊川小､横川小､柳島小､小梅小、立花小、中川小の各小学校地区はH6.3.31,錦糸小はH7.3.31,緑小はH10.3.31,業平小はH12.3.31、外手小及び二葉小はH21.3.31",,
