名称,所在地,構造,利用可能面積[㎡],設置年度,備考
本所防災備蓄倉庫,本所2-6-9,鉄筋コンクリート4階(うち4階),146.89,昭和58年度,外手児童館に併設
錦糸防災備蓄倉庫,錦糸4-17-3,鉄筋コンクリート4階（うち3・4階）,161.46,昭和50年度,職員寮・錦糸土木事務所に併設
八広防災備蓄倉庫,八広6-35-1,鉄筋コンクリート2階（うち2階）,161.5,昭和54年度,屋外体育施設管理事務所に併設
白鬚東防災備蓄倉庫,堤通2-7-13  13号棟,鉄筋コンクリート13階（うち2階）,126,昭和57年度,都営住宅に併設
国技館内防災備蓄倉庫,横網1-3-28,SRC（うち1階）,26.8,昭和60年度,(財)日本相撲協会との使用契約
文花防災備蓄倉庫,文花1-19-1,鉄筋コンクリート5階地下1階（うち地下1階）,120,昭和60年度,すみだ中小企業センターに併設
京島防災備蓄倉庫,京島2-15-5,鉄筋コンクリート3階（うち3階）,117.79,昭和61年度,京島会館(地区会館)に併設
東向島防災備蓄倉庫,東向島4-8-12,鉄骨2階（うち1階）,51,昭和62年度,東向島会館に併設
横川防災備蓄倉庫,横川5-9-1,SRC18階（うち3階）,54,平成7年度,都営住宅･横川コミュニティ会館に併設
庁舎内防災備蓄倉庫,吾妻橋１-23-20,鉄骨19階（うち3階）,46.5,平成2年度,区役所庁舎に併設
業平防災備蓄倉庫,業平3-2-5,SRC5階（うち1階）,33,平成10年度,職員住宅に併設
国際ファッションセンタービル内防災備蓄倉庫,横網1-6-1,鉄筋コンクリート25階地下１階（うち地下１階）,123.79,平成12年度,国際ファッションセンター（株）との使用契約
NTTドコモ墨田ビル内防災備蓄倉庫,横網1-9-2,鉄筋コンクリート27階地下2階（うち地下1階）,77,平成18年度,（株）エヌ・ティ・ティ・ドコモとの使用契約
太平四丁目防災備蓄倉庫,太平4-1-2,ＲCＦＴ31階鉄筋コンクリート地下２階（うち地下２階）,210.35,平成18年度,東京建物（株）と使用契約
東墨田防災備蓄倉庫,東墨田2-12-9,鉄骨2階（うち1階）,195,平成18年度（建物昭和61年度）,東墨田会館に併設
総合体育館防災備蓄倉庫,錦糸4-15-1,鉄骨5階（うち1階）,36.7,平成22年度,すみだスポーツサポートＰＦＩ（株）との使用契約
東京スカイツリータウンウエストヤード総合ロータリー備蓄倉庫,押上1-1-2,RCFT３１階鉄筋コンクリート地下3階（うち1・2階）,220.12,平成24年度,東武鉄道（株）と使用契約
本所地域プラザ防災備蓄倉庫,本所1-13-4,鉄筋コンクリート6階（うち2階）（うち1・2階）,13.05,平成25年度,本所地域プラザＢＩＧ ＳＨＩＰ に併設
京島三丁目コミュニティ住宅防災備蓄倉庫,京島3-3-1,鉄筋コンクリート3階（うち1階）,32.18,昭和64年度,京島三丁目コミュニティ住宅に併設
第7コミュニティ住宅防災備蓄倉庫,京島3-3-6,鉄筋コンクリート3階（うち2・3階）,32.18,昭和64年度,京島三丁目コミュニティ住宅に併設
第8コミュニティ住宅防災備蓄庫,京島3-52-8,鉄筋コンクリート4階（うち1階）,32.18,昭和64年度,京島三丁目コミュニティ住宅に併設
20　ホンダカーズ東京押上店防災備蓄倉庫,押上2-22-4,鉄骨2階（うち1階）,28.78,平成26年度,（株）東京ホンダホールディングスと使用契約
21　京成押上ビル防災備蓄倉庫,押上1-10-3,鉄筋コンクリート（うち5階）,30.72,平成27年度,京成電鉄（㈱）と使用契約
