区分,平成24年箇所,平成24年水量[t],平成25年箇所,平成25年水量[t],平成26年箇所,平成26年水量[t],平成27年箇所,平成27年水量[t],平成28年箇所,平成28年水量[t]
本所,320,22247,319,21858,320,25263,320,32991,336,28873
向島,346,26389,360,29226,366,29195,352,25989,366,24025
合計,666,48636,679,51084,686,54458,672,58980,702,52898
