年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち小中一貫教育校 Combined elementary / junior high schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high / senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
平成30,2018,0,総数 ,Total,,,4437,1,…,…,2350661,1203551,1147110,…,154297,…
令和元,2019,0,総数 ,Total,,,4434,1,…,…,2352033,1202691,1149342,…,155350,…
令和2,2020,0,総数 ,Total,,,4433,1,…,…,2351329,1202533,1148796,…,156828,…
令和3,2021,0,総数 ,Total,,,4425,1,…,…,2345909,1198250,1147659,…,157915,…
令和3,2021,0,総数 ,Total,幼稚園,Kindergartens,976,-,…,…,134456,67624,66832,12788,10672,2116
令和3,2021,0,総数 ,Total,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),40,-,…,…,6949,3535,3414,1163,1035,128
令和3,2021,0,総数 ,Total,小学校,Elementary schools,1328,-,26,…,622820,318449,304371,43609,36134,7475
令和3,2021,0,総数 ,Total,中学校,Junior high schools,801,1,18,143,311049,158644,152405,29558,20183,9375
令和3,2021,0,総数 ,Total,義務教育学校,Compulsory education schools,8,-,8,…,7917,4121,3796,546,487,59
令和3,2021,0,総数 ,Total,高等学校,Senior high schools,429,-,…,140,301648,149093,152555,29893,19238,10655
令和3,2021,0,総数 ,Total,中等教育学校,Secondary education schools,8,-,…,8,7045,3310,3735,707,548,159
令和3,2021,0,総数 ,Total,大学,Colleges and universities,160,-,-,-,750878,397571,353307,122348,52851,69497
令和3,2021,0,総数 ,Total,短期大学,Junior colleges,36,-,-,-,9688,720,8968,2769,727,2042
令和3,2021,0,総数 ,Total,高等専門学校,Colleges of technology,3,-,-,-,3399,2878,521,…,252,…
令和3,2021,0,総数 ,Total,特別支援学校,Special needs schools,71,-,…,…,13713,8966,4747,6870,6155,715
令和3,2021,0,総数 ,Total,高等学校通信制,Senior high school correspondence course,11,-,…,…,10413,5606,4807,975,238,737
令和3,2021,0,総数 ,Total,専修学校,Specialized training schools,401,-,…,…,146015,67817,78198,23999,7341,16658
令和3,2021,0,総数 ,Total,各種学校,Miscellaneous schools,153,-,…,…,19919,9916,10003,3547,2054,1493
令和3,2021,1,国立 ,National,総数,Total,42,-,…,…,88528,57181,31347,…,9123,…
令和3,2021,1,国立 ,National,幼稚園,Kindergartens,2,-,…,…,359,182,177,33,21,12
令和3,2021,1,国立 ,National,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),-,-,…,…,-,-,-,-,-,-
令和3,2021,1,国立 ,National,小学校,Elementary schools,6,-,-,…,3615,1814,1801,229,181,48
令和3,2021,1,国立 ,National,中学校,Junior high schools,6,-,-,-,2576,1395,1181,251,144,107
令和3,2021,1,国立 ,National,義務教育学校,Compulsory education schools,-,-,-,…,-,-,-,-,-,-
令和3,2021,1,国立 ,National,高等学校,Senior high schools,6,-,…,-,3231,1824,1407,374,209,165
令和3,2021,1,国立 ,National,中等教育学校,Secondary education schools,2,-,…,2,1432,606,826,148,101,47
令和3,2021,1,国立 ,National,大学,Colleges and universities,14,-,-,-,75819,50258,25561,…,8157,…
令和3,2021,1,国立 ,National,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-,-
令和3,2021,1,国立 ,National,高等専門学校,Colleges of technology,1,-,-,-,1024,845,179,…,75,…
令和3,2021,1,国立 ,National,特別支援学校,Special needs schools,4,-,…,…,435,248,187,280,228,52
令和3,2021,1,国立 ,National,高等学校通信制,Senior high school correspondence course,-,-,…,…,-,-,-,-,-,-
令和3,2021,1,国立 ,National,専修学校,Specialized training schools,1,-,…,…,37,9,28,84,7,77
令和3,2021,1,国立 ,National,各種学校,Miscellaneous schools,-,-,…,…,-,-,-,-,-,-
令和3,2021,1,公立 ,Public,総数,Total,2324,1,…,…,1001762,518737,483025,…,68043,…
令和3,2021,1,公立 ,Public,幼稚園,Kindergartens,163,-,…,…,9458,4952,4506,1093,834,259
令和3,2021,1,公立 ,Public,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),9,-,…,…,1088,554,534,207,199,8
令和3,2021,1,公立 ,Public,小学校,Elementary schools,1267,-,25,…,593598,305952,287646,41312,34442,6870
令和3,2021,1,公立 ,Public,中学校,Junior high schools,608,1,17,15,229999,120218,109781,20157,15623,4534
令和3,2021,1,公立 ,Public,義務教育学校,Compulsory education schools,8,-,8,…,7917,4121,3796,546,487,59
令和3,2021,1,公立 ,Public,高等学校,Senior high schools,186,-,…,11,126736,63663,63073,12066,9163,2903
令和3,2021,1,公立 ,Public,中等教育学校,Secondary education schools,6,-,…,6,5613,2704,2909,559,447,112
令和3,2021,1,公立 ,Public,大学,Colleges and universities,2,-,-,-,9305,5734,3571,…,679,…
令和3,2021,1,公立 ,Public,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-,-
令和3,2021,1,公立 ,Public,高等専門学校,Colleges of technology,1,-,-,-,1574,1385,189,…,125,…
令和3,2021,1,公立 ,Public,特別支援学校,Special needs schools,63,-,…,…,13045,8591,4454,6471,5840,631
令和3,2021,1,公立 ,Public,高等学校通信制,Senior high school correspondence course,3,-,…,…,1488,687,801,71,43,28
令和3,2021,1,公立 ,Public,専修学校,Specialized training schools,8,-,…,…,1941,176,1765,1018,161,857
令和3,2021,1,公立 ,Public,各種学校,Miscellaneous schools,-,-,…,…,-,-,-,-,-,-
令和3,2021,1,私立 ,Private,総数,Total,2059,-,…,…,1255619,622332,633287,…,80749,…
令和3,2021,1,私立 ,Private,幼稚園,Kindergartens,811,-,…,…,124639,62490,62149,11662,9817,1845
令和3,2021,1,私立 ,Private,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),31,-,…,…,5861,2981,2880,956,836,120
令和3,2021,1,私立 ,Private,小学校,Elementary schools,55,-,1,…,25607,10683,14924,2068,1511,557
令和3,2021,1,私立 ,Private,中学校,Junior high schools,187,-,1,128,78474,37031,41443,9150,4416,4734
令和3,2021,1,私立 ,Private,義務教育学校,Compulsory education schools,-,-,-,…,-,-,-,-,-,-
令和3,2021,1,私立 ,Private,高等学校,Senior high schools,237,-,…,129,171681,83606,88075,17453,9866,7587
令和3,2021,1,私立 ,Private,中等教育学校,Secondary education schools,-,-,…,-,-,-,-,-,-,-
令和3,2021,1,私立 ,Private,大学,Colleges and universities,144,-,-,-,665754,341579,324175,…,44015,…
