年度,Fiscal year,区分,Classification,開館日数 Number of open days,観覧人員 Visitors／総数 Total,観覧人員 Visitors／大人 Adults,観覧人員 Visitors／学生 Students,観覧人員 Visitors／小人 Children,観覧人員 Visitors／その他 Others,(再掲) Relisted／団体 Groups,備付品数 Number of works／映画フィルム Movie films
令和元,2019,上映,Screenings,246,76592,33310,4906,85,38291,-,83109
令和2,2020,上映,Screenings,203,49089,26080,3731,38,19240,-,83744
令和3,2021,上映,Screenings,248,58432,32068,4629,45,21690,-,85907
令和元,2019,展示,Exhibitions,235,15773,6143,1993,167,7470,406,…
令和2,2020,展示,Exhibitions,196,10129,4454,1016,60,4599,-,…
令和3,2021,展示,Exhibitions,217,17626,10329,1996,146,5155,-,…
,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-11  国立博物館及び美術館 (4) 国立映画アーカイブ (令和元～3年度)  17-11  NATIONAL MUSEUM (4) NATIONAL FILM ARCHIVE OF JAPAN ( Fiscal Year 2019-2021 ),,,,,,,,,,,
注１）学生は高校生と大学生の総数である。,,,,,,,,,,,
２）小人は小学生と中学生の総数である。,,,,,,,,,,,
Note: 1) The numbers for “Students” are the total of high school and college students combined.,,,,,,,,,,,
2) The numbers for “Children” are the total of elementary school and junior high school students combined.,,,,,,,,,,,
資料：国立映画アーカイブ Source: National Film Archive of Japan,,,,,,,,,,,
