年度,Fiscal year,開館日数 Number of open days,観覧人員 Visitors／総数 Total,観覧人員 Visitors／大人 Adults,観覧人員 Visitors／学生 Students,観覧人員 Visitors／小人 Children,観覧人員 Visitors／その他 Others,(再掲) Relisted／団体 Groups,,,,,,
令和2,2020,226,184815,131019,23296,2808,27692,-,,,,,,
令和3,2021,272,355023,270672,38062,5606,40683,518,,,,,,
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,
17-11  国立博物館及び美術館 (3) 東京国立近代美術館 b 観覧人員 (令和2，3年度) 17-11  NATIONAL MUSEUM (3) THE NATIONAL MUSEUM OF MODERN ART， TOKYO b  VISITORS ( Fiscal Years 2020 and 2021 ),,,,,,,,,,,,,,
注１）学生は高校生と大学生の総数である。,,,,,,,,,,,,,,
２）小人は小学生と中学生の総数である。,,,,,,,,,,,,,,
Note: 1) The numbers for “Students” are the total of high school and college students combined.,,,,,,,,,,,,,,
2) The numbers for “Children” are the total of elementary school and junior high school students combined.,,,,,,,,,,,,,,
資料：東京国立近代美術館 Source: The National Museum of Modern Art， Tokyo　,,,,,,,,,,,,,,
