年度,Fiscal year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average,,,,
令和元,2019,314,871022,441594,397363,2061,42102,68,429428,2774,,,,
令和2,2020,178,422752,240283,231523,915,7845,-,182469,2375,,,,
令和3,2021,198,398447,241785,236294,1415,4071,5,156662,2012,,,,
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,
17-18  東京都立動物園等の状況 (2) 多摩動物公園 b 入園人員 (令和元～3年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (2) TAMA ZOOLOGICAL PARK  b NUMBER OF VISITORS  ( Fiscal Years 2019-2021 ) ,,,,,,,,,,,,,,
資料：公益財団法人東京都動物園協会多摩動物公園 Source: Tokyo Zoological Park Society Tama Zoological Park,,,,,,,,,,,,,,
