年度末,End of fiscal year,総数 Total／種類 Species,総数 Total／点数 Number,ほ乳類 Mammals ／種類 Species,ほ乳類 Mammals ／点数 Number,鳥類 Birds／種類 Species,鳥類 Birds／点数 Number,は虫類 Reptiles／種類 Species,は虫類 Reptiles／点数 Number,両棲類 Amphibians／種類 Species,両棲類 Amphibians／点数 Number,魚類 Fish／種類 Species,魚類 Fish／点数 Number,昆虫類 Insects／種類 Species,昆虫類 Insects／点数 Number
令和元,2019,305,23368,64,582,92,912,5,28,8,114,5,14,131,21718
令和2,2020,297,18683,62,555,89,855,5,28,8,99,5,14,128,17132
令和3,2021,285,17209,58,480,85,851,6,30,8,88,5,14,123,15746
,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,
17-18  東京都立動物園等の状況 (2) 多摩動物公園 a 種類別動物数 (令和元～3年度末) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (2) TAMA ZOOLOGICAL PARK a NUMBER OF ANIMALS BY KIND ( End of Fiscal Years 2019-2021 ),,,,,,,,,,,,,,,
資料：公益財団法人東京都動物園協会多摩動物公園 Source: Tokyo Zoological Park Society Tama Zoological Park,,,,,,,,,,,,,,,
