年度末,End of fiscal year,分類,Classification,総数 Total,中央 Central,多摩 Tama
令和元,2019,総数,Total,2652705,2132282,520423
令和2,2020,総数,Total,2696207,2170191,526016
令和3,2021,総数,Total,2741824,2209455,532369
令和3,2021,総記,General works,86670,78720,7950
令和3,2021,哲学,Philosophy,96085,88831,7254
令和3,2021,歴史,History,236361,222491,13870
令和3,2021,社会科学,Social science,463471,432247,31224
令和3,2021,自然科学,Natural science,160935,149598,11337
令和3,2021,技術,Technology,182496,168118,14378
令和3,2021,産業,Industry,119927,113768,6159
令和3,2021,芸術,The arts,169157,154394,14763
令和3,2021,言語,Language,40246,35774,4472
令和3,2021,文学,Literature,304255,159652,144603
令和3,2021,児童,Children's books,215960,-,215960
令和3,2021,その他,Others,666261,605862,60399
,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,
17-9  国公立図書館 (2) 都立図書館蔵書数 (令和元～3年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (2) NUMBER OF BOOKS STOCKED AT METROPOLITAN LIBRARIES ( End of Fiscal Years 2019-2021 ),,,,,,
資料：都立中央図書館 Source: Tokyo Metropolitan Central Library,,,,,,
（単位　冊）(In volumes),,,,,,
