年度,Fiscal year,貸切使用日数 Group use (number of days)／メインアリーナ Main arena,貸切使用日数 Group use (number of days)／サブアリーナ Sub arena,貸切使用日数 Group use (number of days)／屋内プール Indoor swimming pools,一般公開利用者数 Number of individual users／屋内プール Indoor swimming pools／トレーニングルーム Training room,スポーツ教室等 Sports programs， etc.／回数 Times held,スポーツ教室等 Sports programs， etc.／人数 Participants,,,,,,,,,,,
令和元,2019,308,285,277,159344,85,16636,,,,,,,,,,,
令和2,2020,87,138,170,28736,4,191,,,,,,,,,,,
令和3,2021,60,130,160,52732,37,958,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (5) 武蔵野の森総合スポーツプラザ (令和元～3年度)  17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (5) MUSASHINO FOREST SPORT PLAZA ( Fiscal Years 2019-2021 ) ,,,,,,,,,,,,,,,,,,
注) 令和2年度以降は新型コロナウイルス感染症や東京2020大会の延期・開催等により，施設の休館や利用制限のある運営を行った。,,,,,,,,,,,,,,,,,,
"Note: Since fiscal 2020, the facility was closed or operating under restricted admission due to COVID-19 and the postponement/hosting of the Olympic and Paralympic Games Tokyo 2020.",,,,,,,,,,,,,,,,,,
資料：都生活文化スポーツ局スポーツ施設部調整課 Source: Bureau of Citizens， Culture and Sports， TMG,,,,,,,,,,,,,,,,,,
