年度,Fiscal year,区分,Classification,マーク Mark,総数 Total,設置者保有 Owned,設置者保有 Owned／校舎 School buildings,設置者保有 Owned／講堂，屋内運動場 Auditoriums，gymnasiums ,設置者保有 Owned／寄宿舎 Dormitories,借用建物 Rented buildings
平成28,2016,総数,Total,,7169574,7067001,…,…,…,102573
平成29,2017,総数,Total,,7243627,7124716,…,…,…,118911
平成30,2018,総数,Total,,7247877,7141454,…,…,…,106423
令和元,2019,総数,Total,,7228710,7129871,…,…,…,98839
令和2,2020,総数,Total,,7227895,7119569,…,…,…,108326
令和3,2021,総数,Total,,7211499,7104924,…,…,…,106575
令和3,2021,幼稚園,Kindergartens,,874893,859980,825586,34394,-,14913
令和3,2021,幼保連携型認定こども園,Accredited Kodomo-en(Daycare-kindergarten),,47378,39929,38944,985,-,7449
令和3,2021,小学校,Elementary schools,,373514,371146,315543,55603,-,2368
令和3,2021,中学校,Junior high schools,,839229,833821,697341,121385,15095,5408
令和3,2021,義務教育学校,Compulsory education schools ,,-,-,-,-,-,-
令和3,2021,高等学校,Senior high schools,,3137553,3128846,2422459,651085,55302,8707
令和3,2021,特別支援学校,Special needs schools,,13103,9267,7486,782,999,3836
令和3,2021,専修学校,Specialized training schools,,1576058,1521154,1392188,20802,108164,54904
令和3,2021,各種学校,Miscellaneous schools,,327867,318877,…,…,…,8990
令和3,2021,高等専門学校,Colleges of technology,※,21904,21904,…,…,…,-
,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-5  学校施設の面積 (2) 用途別学校建物面積 (平成29～令和3年度) b 私立 17-5  LAND AREA OF SCHOOL FACILITIES (2) SCHOOL BUILDING AREA BY USE  ( Fiscal Years 2017-2021 ) b PRIVATE,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」，※サレジオ工業高等専門学校 Source: Bureau of General Affairs， TMG; ※Salesian Polytechnic　,,,,,,,,,,
（単位　平方メートル）(In square meters),,,,,,,,,,
