年度,Fiscal year,貸切使用回数 Group use (number of times)／メインプール Main pool,貸切使用回数 Group use (number of times)／サブプール Sub pool,貸切使用回数 Group use (number of times)／ダイビングプール Diving pool,貸切使用回数 Group use (number of times)／会議室 Conference room,一般公開利用者数 Number of individual users／プール(メイン・サブ・ダイビング)  Pools (Main-Sub-Diving) ,スポーツ教室等 Sports programs， etc.／回数 Times held,スポーツ教室等 Sports programs， etc.／人数 Participants,,,,,,,,,,
令和元,2019,15072,8202,913,3055,46520,564,14037,,,,,,,,,,
令和2,2020,7246,3402,428,1027,6693,173,4434,,,,,,,,,,
令和3,2021,6839,3916,474,1363,15376,272,4298,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (4) 東京辰巳国際水泳場 (令和元～3年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (4) TOKYO TATSUMI INTERNATIONAL SWIMMING CENTER  ( Fiscal Years 2019-2021 ),,,,,,,,,,,,,,,,,,
注) 令和2年度以降は新型コロナウイルス感染症や東京2020大会の延期・開催等により，施設の休館や利用制限のある運営を行った。,,,,,,,,,,,,,,,,,,
"Note: Since fiscal 2020, the facility was closed or operating under restricted admission due to COVID-19 and the postponement/hosting of the Olympic and Paralympic Games Tokyo 2020.",,,,,,,,,,,,,,,,,,
資料：都生活文化スポーツ局スポーツ施設部調整課 Source: Bureau of Citizens， Culture and Sports， TMG,,,,,,,,,,,,,,,,,,
