年度,Fiscal year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average,,,,
令和元,2019,285,1268703,592833,527721,9639,54969,504,675870,4452,,,,
令和2,2020,163,336135,201435,195089,1440,4892,14,134700,2062,,,,
令和3,2021,200,429062,252344,245899,2252,4164,29,176718,2145,,,,
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,
17-18  東京都立動物園等の状況 (4) 葛西臨海水族園 (令和元～3年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (4) TOKYO SEA LIFE PARK ( Fiscal Years 2019-2021 ),,,,,,,,,,,,,,
資料：公益財団法人東京動物園協会葛西臨海水族園 Source: Tokyo Zoological Park Society Tokyo Sea Life Park,,,,,,,,,,,,,,
