年度,Fiscal year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average,,,,
令和元,2019,312,780012,428748,410779,709,17036,224,351264,2500,,,,
令和2,2020,180,381250,222747,221275,95,1376,1,158503,2118,,,,
令和3,2021,198,300670,176909,175962,317,630,-,123761,1519,,,,
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,
17-18  東京都立動物園等の状況 (3) 井の頭自然文化園 (令和元～3年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (3) INOKASHIRA PARK ZOO ( Fiscal Years 2019-2021 ),,,,,,,,,,,,,,
資料：公益財団法人東京動物園協会井の頭自然文化園  Source: Tokyo Zoological Park Society Inokashira Park Zoo,,,,,,,,,,,,,,
