地域階層,地域コード,項番 Item number,地域,District,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／計 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／高齢者 Seniors,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／女性 Women,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and programs／分野別事業数 Programs by category／行事・大会 Events and Meets,学級・事業数 Classes and programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection and promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study/promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／その他の事業 Others programs
0,13000,,総数,Tokyo-to,834,5113,2649,122,177,606,80,303,1361,113,419,228,82,61,50,772,461,22,256
1,13100,,区部,All ku,425,2228,1117,21,100,361,52,106,477,70,175,93,46,44,15,314,223,19,112
2,13101,1,千代田区,Chiyoda-ku,10,22,9,-,-,1,-,1,7,-,8,3,1,-,-,-,-,-,1
2,13102,2,中央区,Chuo-ku,9,70,55,6,-,14,-,-,35,1,5,1,1,2,-,2,2,-,1
2,13103,3,港区,Minato-ku,12,49,27,-,-,23,2,-,2,-,1,1,12,-,-,3,1,-,4
2,13104,4,新宿区,Shinjuku-ku,24,14,2,-,-,2,-,-,-,2,1,6,1,-,-,-,-,-,2
2,13105,5,文京区,Bunkyo-ku,20,121,54,-,-,1,-,3,50,-,24,3,1,6,8,5,12,-,8
2,13106,6,台東区,Taito-ku,20,74,37,1,3,11,-,9,13,5,5,4,1,2,-,16,-,1,3
2,13107,7,墨田区,Sumida-ku,8,40,6,-,-,6,-,-,-,1,4,3,-,4,-,8,8,1,5
2,13108,8,江東区,Koto-ku,16,88,55,-,13,17,5,7,13,4,4,11,1,1,-,3,-,2,7
2,13109,9,品川区,Shinagawa-ku,19,253,234,12,-,212,-,6,4,1,-,1,3,-,-,6,3,1,4
2,13110,10,目黒区,Meguro-ku,19,58,33,-,1,6,2,3,21,3,3,1,1,2,-,2,3,-,10
2,13111,11,大田区,Ota-ku,21,81,34,-,9,10,1,-,14,5,12,1,2,18,-,-,3,1,5
2,13112,12,世田谷区,Setagaya-ku,26,151,83,-,5,29,2,-,47,7,38,10,3,-,-,3,2,1,4
