年度,Fiscal year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average,,,,
令和元,2019,308,646139,466003,453683,262,12058,-,180136,2098,,,,
令和2,2020,179,310890,161369,159760,113,1496,-,149521,1737,,,,
令和3,2021,195,264389,142844,142042,88,714,-,121545,1356,,,,
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,
17-18  東京都立動物園等の状況 (5) 神代植物公園 (令和元～3年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (5) JINDAI BOTANICAL GARDENS ( Fiscal Years 2019-2021 ),,,,,,,,,,,,,,
資料：公益財団法人東京都公園協会神代植物公園 Source: Tokyo Metropolitan Park Association Jindai Botanical Gardens,,,,,,,,,,,,,,
