男女区分 ,Male female classification,区分 ,Classification,マーク Mark,小学校 Elementary school／第1学年 1st grade,小学校 Elementary school／第2学年 2nd grade,小学校 Elementary school／第3学年 3rd grade,小学校 Elementary school／第4学年 4th grade,小学校 Elementary school／第5学年 5th grade,小学校 Elementary school／第6学年 6th grade,中学校 Junior high school／第1学年 1st grade,中学校 Junior high school／第2学年 2nd grade,中学校 Junior high school／第3学年 3rd grade,高等学校(全日制) Senior high school ( Full-time )／第1学年 1st grade,高等学校(全日制) Senior high school ( Full-time )／第2学年 2nd grade,高等学校(全日制) Senior high school ( Full-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第1学年 1st grade,高等学校(定時制) Senior high school ( part-time )／第2学年 2nd grade,高等学校(定時制) Senior high school ( part-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第4学年 4th grade
男 ,Male,握力 (kg) ,Grip strength (kg),,8.8,10.5,12.4,14.3,16.4,19.2,23.5,28.6,33.3,36,38.4,39.9,34,36.3,37.5,39.7
男 ,Male,上体起こし (回) ,Sit-ups (times),,10.9,13.3,15.4,17.6,19.2,21,23.1,25.8,28.1,27.7,29.2,30.4,22.9,23.4,24.1,22.7
男 ,Male,長座体前屈 (cm),Sit and reach (cm),,26,27.7,29.8,31.8,34,36.1,39,42.4,46,45.4,47.6,49.4,42.8,44.1,44.2,43
男 ,Male,反復横とび (点) ,Side step (points)　　,,26.3,29.8,33,36.9,40.9,44.1,48.3,51.5,54.4,55.3,57,58,48.7,49.5,50.7,48.8
男 ,Male,持久走 (秒) ,1500m run (seconds),,…,…,…,…,…,…,436.1,396.6,382.7,398.4,388.7,384.6,451.1,456.2,435.4,471.1
男 ,Male,20ｍシャトルラン (回) ,20m shuttle run (times),,16.9,25.1,31.7,39,45.9,53.3,63.1,76.6,85.1,79.2,84.6,85.7,48.8,53,58.1,50.6
男 ,Male,50ｍ走 (秒) ,50m run (seconds),,11.5,10.6,10,9.6,9.2,8.8,8.5,7.9,7.5,7.5,7.3,7.3,7.8,7.7,7.7,7.8
男 ,Male,立ち幅とび (cm) ,Standing long jump (cm),,112.9,124.1,134.4,143.4,152.8,164,180.9,196.6,211.2,218.6,224.8,228.9,202.7,210.5,211.7,210
男 ,Male,ハンドボール投げ (m),Handball throw (m)  ,1),7.2,10.2,13.5,16.9,20.1,23.6,17.3,20.1,22.9,23,24.4,25.1,20.6,21.3,22.4,22.1
女,Female,握力 (kg) ,Grip strength (kg),,8.3,10,11.7,13.6,16.2,18.9,21.1,23.2,24.4,24.8,25.6,26,23,23.8,24.1,24.5
女,Female,上体起こし (回) ,Sit-ups (times),,10.6,13,15,17,18.4,19.5,20.4,22.4,23.7,23.2,23.8,24.1,16.9,17.7,17.4,16.7
女,Female,長座体前屈 (cm),Sit and reach (cm),,28.5,30.8,33.4,35.9,38.8,41.3,43,45.5,47.5,46.9,47.7,48.8,44.2,43.7,42.5,42.1
女,Female,反復横とび (点) ,Side step (points)　　,,25.5,28.8,31.4,35.3,39.1,41.8,44.8,46.3,47.4,48.4,48.9,49.2,41.9,42.4,42.7,41.1
女,Female,持久走 (秒) ,1000m run (seconds),,…,…,…,…,…,…,312,295.6,295.4,311.9,309.8,310.8,359.7,361.6,376.8,364
女,Female,20ｍシャトルラン (回) ,20m shuttle run (times),,14,19.7,24.3,30.1,36.2,41,45.6,51.8,52.7,49.2,51.4,50.4,25.9,30.2,29.6,23.7
女,Female,50ｍ走 (秒) ,50m run (seconds),,11.8,10.9,10.4,9.9,9.5,9.1,9.1,8.8,8.7,8.9,8.9,8.9,9.6,9.5,9.7,9.7
女,Female,立ち幅とび (cm) ,Standing long jump (cm),,105.5,116.3,126.5,136.6,146,154.3,164,168.1,171.4,173.1,174.6,175.4,154.6,155.9,156.2,152.3
女,Female,ハンドボール投げ (m),Handball throw (m)  ,1),5.1,6.8,8.6,10.6,12.6,14.3,10.9,12.3,13.3,13.3,13.7,13.9,11.2,11.7,11.6,11.6
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,
17-3  児童・生徒の体力テスト調査結果 (令和3年度) 17-3  RESULTS OF PHYSICAL FITNESS TESTS ( Fiscal Year 2021 ),,,,,,,,,,,,,,,,,,,,
注 1) 小学校はソフトボール投げ　　  ,,,,,,,,,,,,,,,,,,,,
Note: 1) Softball throw for elementary school students.   ,,,,,,,,,,,,,,,,,,,,
資料：都教育庁指導部指導企画課 「東京都児童・生徒体力・運動能力，生活・運動習慣等調査報告書」 Source: Office of Education， TMG,,,,,,,,,,,,,,,,,,,,
