地域階層,地域コード,項番 Item number,地域,District,マーク Mark,計 Total／数 Number,計 Total／面積 Area,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／数 Number,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／面積 Area,都市公園 Urban parks／区市町村立公園 Municipal parks／数 Number,都市公園 Urban parks／区市町村立公園 Municipal parks／面積 Area,都市公園 Urban parks／国営公園 National government parks／数 Number,都市公園 Urban parks／国営公園 National government parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／面積 Area,その他 Others／国民公園等 National parks／数 Number,その他 Others／国民公園等 National parks／面積 Area,その他 Others／公団・公社の設置する公園 Public housing parks／数　Number,その他 Others／公団・公社の設置する公園 Public housing parks／面積 Area
0,13000,,総数,Tokyo-to,,12042,80391111,83,20383585,8245,37678624,2,1761000,6,4130054,38,8717178,3413,3189698,12,3549726,243,981245
1,13100,,区部,All ku,,6186,42220754,49,10185052,4320,18104038,1,67000,-,-,38,8717178,1622,1232798,11,3540627,145,374062
2,13101,1,千代田区,Chiyoda-ku,,51,1709389,1,161637,22,104569,-,-,-,-,-,-,23,6315,5,1436868,-,-
2,13102,2,中央区,Chuo-ku,,95,627977,1,250216,58,337968,-,-,-,-,1,24513,33,11856,-,-,2,3424
2,13103,3,港区,Minato-ku,,118,1407023,4,235658,47,267289,-,-,-,-,3,541119,58,94155,1,263716,5,5086
2,13104,4,新宿区,Shinjuku-ku,,183,1147113,1,186472,177,360802,-,-,-,-,-,-,1,3983,2,593011,2,2844
2,13105,5,文京区,Bunkyo-ku,,115,553078,2,158657,45,203327,-,-,-,-,-,-,67,29506,1,161588,-,-
2,13106,6,台東区,Taito-ku,,75,773676,2,556742,50,193301,-,-,-,-,-,-,23,23632,-,-,-,-
2,13107,7,墨田区,Sumida-ku,,146,782267,3,133593,141,639914,-,-,-,-,-,-,-,-,-,-,2,8760
2,13108,8,江東区,Koto-ku,,316,5165650,6,1139837,171,1157793,1,67000,-,-,18,2682461,95,34114,-,-,25,84445
2,13109,9,品川区,Shinagawa-ku,,281,1369635,2,218348,149,516887,-,-,-,-,6,512212,120,120796,-,-,4,1391
2,13110,10,目黒区,Meguro-ku,,133,490114,-,114276,83,350308,-,-,-,-,-,-,49,24841,-,-,1,690
2,13111,11,大田区,Ota-ku,,563,2964476,-,-,509,2057756,-,-,-,-,9,839400,37,58873,-,-,8,8448
2,13112,12,世田谷区,Setagaya-ku,,571,2886819,4,921708,430,1619227,-,-,-,-,-,-,125,128139,1,183991,11,33753
2,13113,13,渋谷区,Shibuya-ku,,133,1644144,2,568910,129,173693,-,-,-,-,-,-,-,-,1,901452,1,88
2,13114,14,中野区,Nakano-ku,,200,492391,-,-,168,461369,-,-,-,-,-,-,27,24622,-,-,5,6400
2,13115,15,杉並区,Suginami-ku,,337,1227876,4,562429,281,632739,-,-,-,-,-,-,50,25396,-,-,2,7311
2,13116,16,豊島区,Toshima-ku,,154,233106,-,-,91,208661,-,-,-,-,-,-,63,24445,-,-,-,-
