年度,End of fiscal year,総数 Total,絵画 Paintings 1),書跡 Calligraphy,彫刻 Sculptures,写真 photographs,その他 Others 2),,,,,,,
令和2,2020,13549,9339,21,480,2947,762,,,,,,,
令和3,2021,13617,9377,21,483,2973,763,,,,,,,
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,
17-11  国立博物館及び美術館 (3) 東京国立近代美術館 a 備付品数 (令和2，3年度末) 17-11  NATIONAL MUSEUM (3) THE NATIONAL MUSEUM OF MODERN ART， TOKYO a NUMBER OF WORKS ( End of Fiscal Years 2020 and 2021 ),,,,,,,,,,,,,,
注 1) 絵画には版画を含む。　,,,,,,,,,,,,,,
2) その他には写真を含む。 ,,,,,,,,,,,,,,
Note: 1) “Paintings” include prints.,,,,,,,,,,,,,,
2) “Others” include documents.,,,,,,,,,,,,,,
資料：東京国立近代美術館 Source: The National Museum of Modern Art， Tokyo　,,,,,,,,,,,,,,
