年度末,End of fiscal year,総数 Total,絵画 Paintings,書跡 Calligraphy,彫刻 Sculptures,金工刀剣 Metalwork and swords,陶磁 Ceramics,漆工 Lacquerware,染織 Textile and costumes,考古 Archaeology,歴史民族 Historical materials and ethnic artifacts,和書 Japanese books and documents,準歴史資料 Unregistered historical materials,東洋美術東洋考古 Oriental art and archaeology,その他 Others
令和元,2019,119871,11191,1891,1112,19890,2963,3951,3772,28621,7513,17560,-,17977,3430
令和2,2020,119942,11194,1920,1112,19890,2964,3951,3772,28621,7513,17560,-,17997,3448
令和3,2021,120073,11199,1927,1113,19892,2968,3961,3795,28625,7513,17560,-,18072,3448
,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,
17-11  国立博物館及び美術館 (1) 東京国立博物館 a 備付品数 (令和元～3年度末) 17-11  NATIONAL MUSEUM (1) TOKYO NATIONAL MUSEUM a NUMBER OF WORKS ( End of Fiscal Years 2019-2021 ),,,,,,,,,,,,,,,
資料：国立文化財機構 Source: National Institutes for Cultural Heritage　　,,,,,,,,,,,,,,,
