年度,Fiscal year,開館日数 Number of open days,備付品数 (年度末) Number of works (End of fiscal year)／総数 Total,備付品数 (年度末) Number of works (End of fiscal year)／絵画 Paintings,備付品数 (年度末) Number of works (End of fiscal year)／版画 Prints,備付品数 (年度末) Number of works (End of fiscal year)／彫刻 Sculptures,備付品数 (年度末) Number of works (End of fiscal year)／工芸 Crafts,備付品数 (年度末) Number of works (End of fiscal year)／その他 Others,観覧人員 Visitors
令和元,2019,258,6463,508,4174,105,824,852,1485279
令和2,2020,109,6638,514,4316,105,824,879,411136
令和3,2021,-,6643,514,4319,106,824,880,-
,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-11  国立博物館及び美術館 (2) 国立西洋美術館 (令和元～3年度) 17-11  NATIONAL MUSEUM (2) THE NATIONAL MUSEUM OF WESTERN ART ( Fiscal Years 2019-2021 ),,,,,,,,,
注) 館内施設整備のため，令和2年10月19日から令和4年4月8日まで全館を休館した。,,,,,,,,,
"Note: The museum was closed from October 19, 2020, to April 8, 2022, due to facility maintenance.",,,,,,,,,
資料：国立西洋美術館 Source: The National Museum of Western Art　　,,,,,,,,,
