年度,Fiscal year,貸切使用回数Group use (number of times)／大武道場 Large dojo,貸切使用回数Group use (number of times)／第一武道場 First dojo,貸切使用回数Group use (number of times)／第二武道場 Second dojo,貸切使用回数Group use (number of times)／弓道場 Japanese archery range,一般公開利用者数 Number of individual users／第一武道場 First Dojo,一般公開利用者数 Number of individual users／第二武道場 Second Dojo ,一般公開利用者数 Number of individual users／弓道場 Japanese Archery Range ,一般公開利用者数 Number of individual users／トレーニングルーム Training Room,スポーツ教室等 Sports programs， etc.／回数 Times held,スポーツ教室等 Sports programs， etc.／人数 Participants
令和元,2019,2634,1196,1331,924,1694,1414,4654,76150,248,16361
令和2,2020,1246,472,504,395,854,1337,1703,27388,96,1660
令和3,2021,1966,867,958,814,635,1704,2270,37702,216,5697
,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (3) 東京武道館 (令和元～3年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (3) TOKYO BUDO-KAN ( Fiscal Years 2019-2021 ),,,,,,,,,,,
注) 新型コロナウイルス感染症拡大防止のため，令和２年度以降は休館や利用制限のある運営を行った。,,,,,,,,,,,
"Note: Since fiscal 2020, the facility was closed or operating under restricted admission due to COVID-19.",,,,,,,,,,,
資料：都生活文化スポーツ局スポーツ施設部調整課 Source: Bureau of Citizens， Culture and Sports， TMG,,,,,,,,,,,
