男女別階層,男女区分 ,Male female classification,年齢階層,項番 Item number,年齢,Age,１０歳以上推定人口(千人) Estimated population 10 years and over(in 1，000),１次活動 Primary activities,１次活動 Primary activities／睡眠 Sleep,１次活動 Primary activities／身の回りの用事 Personal care,１次活動 Primary activities／食事 Meals,２次活動 Secondary activities,２次活動 Secondary activities／通勤・通学 Commuting to and from school or work,２次活動 Secondary activities／仕事 Work ,２次活動 Secondary activities／学業 Schoolwork,２次活動 Secondary activities／家事 Housework,２次活動 Secondary activities／介護・看護 Caring or nursing,２次活動 Secondary activities／育児 Child care,２次活動 Secondary activities／買い物 Shopping,３次活動 Tertiary activities,３次活動 Tertiary activities／移動(通勤・通学を除く) Moving (excluding commuting),３次活動 Tertiary activities／テレビ・ラジオ・新聞・雑誌 Watching TV， listening to the radio， reading newspapers or magazines ,３次活動 Tertiary activities／休養・くつろぎ Rest and relaxation  ,３次活動 Tertiary activities／学習・自己啓発・訓練(学業以外) Learning， self-education， and training ( excluding schoolwork ),３次活動 Tertiary activities／趣味・娯楽 Hobbies and amusements ,３次活動 Tertiary activities／スポーツ Sports,３次活動 Tertiary activities／ボランティア活動・社会参加活動 Volunteer and social activities,３次活動 Tertiary activities／交際・付き合い Social life,３次活動 Tertiary activities／受診・療養 Medical examination or treatment,３次活動 Tertiary activities／その他 Other activities
0,総数 ,Total,0,,,,12724,652,468,85,99,418,36,222,35,82,2,15,26,371,26,106,118,18,56,12,2,11,7,14
0,総数 ,Total,1,1,10～14歳 ,10-14 years old,519,675,512,72,92,387,40,1,332,2,-,0,12,378,25,48,141,50,66,27,-,7,7,6
0,総数 ,Total,1,2,15～19歳,15-19 years old,530,640,471,82,87,432,62,28,325,5,0,-,12,367,22,22,137,55,78,33,1,9,1,9
0,総数 ,Total,1,3,20～24歳,20-24 years old,844,669,506,86,77,368,41,219,82,14,-,0,12,403,22,31,179,44,75,4,0,29,5,15
0,総数 ,Total,1,4,25～29歳,25-29 years old,991,662,493,78,90,430,46,300,18,35,-,13,17,348,29,28,149,20,75,8,1,15,4,18
0,総数 ,Total,1,5,30～34歳,30-34 years old,936,639,479,71,88,524,37,352,1,49,1,59,25,278,24,45,105,11,67,5,0,12,1,8
0,総数 ,Total,1,6,35～39歳,35-39 years old,985,624,456,83,85,511,48,307,2,71,1,61,20,305,28,39,119,12,74,7,2,12,2,9
0,総数 ,Total,1,7,40～44歳,40-44 years old,1032,626,454,80,92,531,42,346,3,81,2,31,26,283,24,49,96,12,52,6,1,9,15,19
0,総数 ,Total,1,8,45～49歳,45-49 years old,1158,629,448,83,98,514,38,315,3,109,5,13,30,297,25,70,114,8,42,7,1,9,6,15
0,総数 ,Total,1,9,50～54歳,50-54 years old,1114,636,443,92,100,484,50,300,0,104,2,1,26,321,25,115,97,10,36,12,1,10,2,13
