年度,Fiscal year,区分,Classification,マーク Mark,総数 Total,設置者保有 Owned,設置者保有 Owned／屋外運動場 Sports grounds,設置者保有 Owned／実験実習地 Land for laboratories and workshops,設置者保有 Owned／建物敷地・その他 Land for buildings and others,借用土地 Rented land
平成29,2017,総数,Total,,12745515,11580456,…,…,…,1165059
平成30,2018,総数,Total,,12744103,11589213,…,…,…,1154890
令和元,2019,総数,Total,,12718261,11554298,…,…,…,1163963
令和2,2020,総数,Total,,12737513,11561536,…,…,…,1175977
令和3,2021,総数,Total,,12673332,11518399,…,…,…,1154933
令和3,2021,幼稚園,Kindergartens,,1891783,1514949,624759,35120,855070,376834
令和3,2021,幼保連携型認定こども園,Accredited Kodomo-en(Daycare-kindergarten),,62373,36542,17542,-,19000,25831
令和3,2021,小学校,Elementary schools,,547528,501430,165314,17751,318365,46098
令和3,2021,中学校,Junior high schools,,1077276,1004171,255684,8000,740487,73105
令和3,2021,義務教育学校,Compulsory education schools ,,-,-,-,-,-,-
令和3,2021,高等学校,Senior high schools,,7299171,6831638,2160566,899019,3772053,467533
令和3,2021,特別支援学校,Special needs schools,,34175,22476,7850,-,14626,11699
令和3,2021,専修学校,Specialized training schools,,1282851,1213321,89772,14618,1108931,69530
令和3,2021,各種学校,Miscellaneous schools,,434926,350623,…,…,…,84303
令和3,2021,高等専門学校,Colleges of technology,※,43249,43249,…,…,…,-
,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-5  学校施設の面積 (1) 用途別学校土地面積 (平成29～令和3年度) b 私立 17-5  LAND AREA OF SCHOOL FACILITIES (1) SCHOOL LAND AREA BY USE ( Fiscal Years 2016-2020 ) b PRIVATE,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」，※サレジオ工業高等専門学校 Source: Bureau of General Affairs， TMG; ※Salesian Polytechnic　,,,,,,,,,,
（単位　平方メートル）(In square meters),,,,,,,,,,
