地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,英国,タイ,インド,ブラジル,オーストラリア,フランス,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,370433,126048,106341,35125,18502,7935,6084,5725,4955,4307,4261,51150,351716,18717
1,13100,区部,307193,106060,89337,27167,15335,7013,4896,5205,2871,3727,3989,41593,293297,13896
4,13101,千代田区,1998,532,388,81,241,78,21,94,14,33,134,382,1893,105
4,13102,中央区,2971,1158,695,96,199,114,59,95,14,42,64,435,2618,353
4,13103,港区,18279,2121,2749,1057,4280,1539,211,599,245,969,686,3823,16908,1371
4,13104,新宿区,30249,9786,11986,893,768,459,604,164,148,244,921,4276,28997,1252
4,13105,文京区,6809,2411,2184,250,317,123,118,139,53,68,228,918,6424,385
4,13106,台東区,10379,3454,4468,1031,128,68,168,356,36,35,38,597,9637,742
4,13107,墨田区,8632,3116,2193,1578,82,61,348,44,30,10,15,1155,7746,886
4,13108,江東区,14574,6181,4320,1648,222,94,305,297,137,87,42,1241,13410,1164
4,13109,品川区,10385,3353,2307,1026,667,310,130,407,101,144,114,1826,9872,513
4,13110,目黒区,8243,1601,1525,719,1000,398,141,227,77,211,194,2150,8294,-51
4,13111,大田区,16541,5511,4026,2354,535,274,361,307,342,111,71,2649,15790,751
4,13112,世田谷区,14977,3205,4015,1058,1631,590,200,376,170,365,312,3055,15595,-618
4,13113,渋谷区,11550,1685,1854,509,2280,1163,166,220,133,520,539,2481,11529,21
4,13114,中野区,11672,4757,3075,522,419,289,184,309,62,138,98,1819,11364,308
4,13115,杉並区,11662,4275,3224,576,692,309,148,161,108,191,106,1872,11398,264
4,13116,豊島区,17377,9595,3325,587,359,230,217,108,96,107,143,2610,16912,465
4,13117,北区,14308,7442,3291,1142,137,126,134,119,182,56,37,1642,13393,915
4,13118,荒川区,13560,4176,7512,673,98,64,118,70,39,34,21,755,12811,749
4,13119,板橋区,16072,8063,3622,1600,256,215,181,76,165,77,51,1766,15136,936
4,13120,練馬区,12798,4506,3883,1210,494,185,200,278,172,104,82,1684,12391,407
4,13121,足立区,21992,6120,9183,3877,174,100,383,114,297,69,32,1643,21342,650
4,13122,葛飾区,11782,4347,4073,1594,135,82,176,61,113,29,23,1149,10951,831
4,13123,江戸川区,20383,8665,5439,3086,221,142,323,584,137,83,38,1665,18886,1497
1,13200,市部,62226,19896,16851,7620,3107,915,1159,515,1951,577,272,9363,57568,4658
4,13201,八王子市,8277,2883,1959,1247,218,95,96,56,255,59,33,1376,7407,870
4,13202,立川市,3394,1326,942,456,126,20,35,24,154,9,6,296,3123,271
4,13203,武蔵野市,2533,1046,566,99,234,80,30,44,37,33,27,337,2520,13
4,13204,三鷹市,2946,955,689,188,328,97,70,23,27,57,35,477,2918,28
4,13205,青梅市,1414,263,277,347,57,13,54,10,131,5,1,256,1284,130
4,13206,府中市,4143,1267,977,625,286,58,68,50,120,46,16,630,3801,342
4,13207,昭島市,2264,711,791,300,52,9,15,8,71,3,3,301,2149,115
4,13208,調布市,3651,1189,1223,301,155,54,66,52,39,42,24,506,3454,197
4,13209,町田市,4286,1475,1175,440,235,89,80,58,50,55,16,613,3956,330
4,13210,小金井市,2410,915,491,124,154,60,40,31,13,54,27,501,2279,131
4,13211,小平市,4157,1092,2031,185,92,38,52,14,193,32,11,417,3667,490
4,13212,日野市,2251,993,520,233,66,25,29,6,26,7,6,340,2141,110
4,13213,東村山市,1812,520,579,312,81,26,42,10,12,13,2,215,1624,188
4,13214,国分寺市,1585,586,445,96,87,52,21,3,27,49,11,208,1571,14
4,13215,国立市,1450,548,376,72,56,21,36,30,12,14,10,275,1360,90
4,13218,福生市,2413,405,458,485,158,8,190,10,143,6,1,549,2268,145
4,13219,狛江市,826,265,221,107,56,17,20,12,6,8,7,107,828,-2
4,13220,東大和市,889,162,323,263,25,9,13,4,23,6,1,60,804,85
4,13221,清瀬市,843,292,182,145,32,9,23,2,10,15,3,130,763,80
4,13222,東久留米市,1464,350,300,182,261,40,28,17,8,17,5,256,1306,158
4,13223,武蔵村山市,1061,242,221,260,28,1,23,0,189,4,0,93,951,110
4,13224,多摩市,2142,831,571,332,76,23,21,15,24,20,12,217,1885,257
4,13225,稲城市,913,331,281,83,37,12,14,6,29,8,1,111,862,51
4,13227,羽村市,1790,218,170,343,70,2,23,8,300,0,0,656,1584,206
4,13228,あきる野市,581,119,172,77,35,3,21,2,22,2,1,127,565,16
4,13229,西東京市,2731,912,911,318,102,54,49,20,30,13,13,309,2498,233
1,13550,町村部,1014,92,153,338,60,7,29,5,133,3,0,194,851,163
2,13300,西多摩郡,738,76,77,213,48,4,21,5,123,0,0,171,604,134
4,13303,瑞穂町,641,58,56,193,31,3,21,5,117,0,0,157,510,131
4,13305,日の出町,63,13,15,10,6,1,0,0,6,0,0,12,59,4
4,13307,檜原村,16,3,2,4,6,0,0,0,0,0,0,1,16,0
4,13308,奥多摩町,18,2,4,6,5,0,0,0,0,0,0,1,19,-1
2,13350,島部,276,16,76,125,12,3,8,0,10,3,0,23,247,29
3,13360,大島支庁,49,8,9,4,2,1,3,0,9,0,0,13,46,3
3,13380,三宅支庁,39,4,13,19,2,0,0,0,0,0,0,1,44,-5
3,13400,八丈支庁,178,4,51,101,5,2,5,0,1,2,0,7,147,31
3,13420,小笠原支庁,10,0,3,1,3,0,0,0,0,1,0,2,10,0
,,,,,,,,,,,,,,,,
外国人登録人口　平成16年7月,,,,,,,,,,,,,,,,
第１表　　区市町村別主要１０か国外国人登録人口  （平成１６年７月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成１６年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注２）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
