地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,英国,タイ,インド,ブラジル,オーストラリア,フランス,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,355289,122381,102680,31150,18267,7808,5815,5410,4892,4161,4148,48577,344221,11068
1,13100,区部,295819,103651,86054,24334,15202,6942,4670,4927,2818,3668,3892,39661,287479,8340
4,13101,千代田区,1839,474,362,57,233,70,23,96,14,24,126,360,1821,18
4,13102,中央区,2715,1029,642,87,184,114,52,84,11,40,54,418,2429,286
4,13103,港区,17154,2090,2595,995,4047,1471,160,523,220,975,650,3428,16494,660
4,13104,新宿区,29143,9762,10957,872,757,462,603,172,145,243,926,4244,28116,1027
4,13105,文京区,6506,2316,2129,229,297,113,108,134,49,67,239,825,6380,126
4,13106,台東区,9882,3357,4348,838,133,65,156,344,43,31,32,535,9877,5
4,13107,墨田区,7982,2908,2201,1321,72,61,346,48,31,10,13,971,7537,445
4,13108,江東区,13753,5940,4110,1491,210,91,295,267,125,81,41,1102,12928,825
4,13109,品川区,9995,3231,2309,854,669,312,125,363,93,139,101,1799,9667,328
4,13110,目黒区,8118,1638,1481,678,1015,402,134,216,75,219,200,2060,8416,-298
4,13111,大田区,16015,5313,4055,2127,532,271,352,315,353,103,66,2528,15534,481
4,13112,世田谷区,15067,3185,3988,1031,1778,613,195,372,189,368,307,3041,15427,-360
4,13113,渋谷区,11421,1670,1787,487,2345,1129,157,224,128,529,532,2433,11599,-178
4,13114,中野区,11484,4854,2879,471,420,318,173,282,61,142,101,1783,11322,162
4,13115,杉並区,11357,4304,3081,547,673,297,141,161,106,179,92,1776,11332,25
4,13116,豊島区,16833,9405,3132,509,374,242,211,97,91,102,151,2519,16364,469
4,13117,北区,13743,7336,3172,937,132,125,130,107,186,51,32,1535,12931,812
4,13118,荒川区,13026,4033,7261,602,101,65,116,65,40,30,22,691,12505,521
4,13119,板橋区,15364,7830,3483,1400,249,214,168,79,158,67,44,1672,14748,616
4,13120,練馬区,12351,4405,3721,1047,492,189,194,285,159,105,79,1675,12027,324
4,13121,足立区,21431,5936,9126,3610,156,92,378,116,292,56,28,1641,20875,556
4,13122,葛飾区,11297,4192,3924,1474,121,86,177,64,106,32,28,1093,10712,585
4,13123,江戸川区,19343,8443,5311,2670,212,140,276,513,143,75,28,1532,18438,905
1,13200,市部,58539,18644,16480,6520,3006,860,1117,477,1938,491,256,8750,55911,2628
4,13201,八王子市,7610,2666,1892,1058,202,97,94,54,246,49,28,1224,7113,497
4,13202,立川市,3235,1267,935,385,127,21,32,26,156,7,5,274,3003,232
4,13203,武蔵野市,2439,1022,526,92,236,76,25,45,36,26,28,327,2471,-32
4,13204,三鷹市,2871,934,662,184,330,93,67,18,30,51,35,467,2904,-33
4,13205,青梅市,1310,229,270,305,50,11,49,8,135,5,1,247,1298,12
4,13206,府中市,3836,1196,967,515,281,54,60,41,109,38,14,561,3734,102
4,13207,昭島市,2159,663,803,240,47,9,15,8,72,3,3,296,2106,53
4,13208,調布市,3543,1156,1201,270,146,52,64,42,41,41,24,506,3408,135
4,13209,町田市,4052,1351,1165,399,220,89,76,51,50,47,16,588,3745,307
4,13210,小金井市,2195,833,446,109,149,53,40,33,15,49,24,444,2145,50
4,13211,小平市,3967,1011,1983,180,85,34,56,11,203,24,8,372,3626,341
4,13212,日野市,2123,913,518,200,60,25,29,8,26,7,6,331,1933,190
4,13213,東村山市,1653,464,561,260,72,21,43,6,12,15,1,198,1583,70
4,13214,国分寺市,1535,576,442,78,88,48,25,6,24,40,17,191,1529,6
4,13215,国立市,1379,554,355,62,56,22,32,23,12,12,9,242,1318,61
4,13218,福生市,2256,386,452,376,152,7,188,10,140,4,1,540,2242,14
4,13219,狛江市,799,254,208,105,58,16,21,15,5,8,4,105,810,-11
4,13220,東大和市,829,149,331,222,22,7,11,5,23,0,0,59,762,67
4,13221,清瀬市,784,278,174,121,31,10,20,1,9,0,2,138,746,38
4,13222,東久留米市,1365,322,288,151,251,33,28,16,8,21,5,242,1227,138
4,13223,武蔵村山市,991,221,224,217,27,1,22,1,192,5,0,81,987,4
4,13224,多摩市,1953,742,565,263,71,20,22,11,28,17,10,204,1804,149
4,13225,稲城市,865,301,292,77,32,11,13,4,25,5,1,104,853,12
4,13227,羽村市,1654,205,175,289,73,2,20,10,286,0,0,594,1548,106
4,13228,あきる野市,560,110,171,69,36,3,22,2,21,2,0,124,562,-2
4,13229,西東京市,2576,841,874,293,104,45,43,22,34,15,14,291,2454,122
1,13550,町村部,931,86,146,296,59,6,28,6,136,2,0,166,831,100
2,13300,西多摩郡,677,70,73,189,46,4,22,5,123,0,0,145,576,101
4,13303,瑞穂町,589,54,53,168,29,3,22,5,116,0,0,139,479,110
4,13305,日の出町,54,11,15,10,6,1,0,0,7,0,0,4,64,-10
4,13307,檜原村,15,3,1,4,6,0,0,0,0,0,0,1,15,0
4,13308,奥多摩町,19,2,4,7,5,0,0,0,0,0,0,1,18,1
2,13350,島部,254,16,73,107,13,2,6,1,13,2,0,21,255,-1
3,13360,大島支庁,50,6,10,4,2,1,2,0,12,0,0,13,41,9
3,13380,三宅支庁,40,4,12,20,3,0,0,0,0,0,0,1,44,-4
3,13400,八丈支庁,154,6,48,82,5,1,4,0,1,1,0,6,162,-8
3,13420,小笠原支庁,10,0,3,1,3,0,0,1,0,1,0,1,8,2
,,,,,,,,,,,,,,,,
外国人登録人口　平成16年1月,,,,,,,,,,,,,,,,
第１表　区市町村別主要１０か国外国人登録人口  （平成１６年１月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成１６年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注２）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
