年齢[歳],合 計[人],男性合計[人],女性合計[人]
総 数,740800,359137,381663
0,5147,2673,2474
1,5649,2865,2784
2,5617,2853,2764
3,5782,2968,2814
4,5873,2961,2912
5,5923,3017,2906
6,6112,3089,3023
7,5929,2991,2938
8,5882,3020,2862
9,5678,2943,2735
10,6042,3105,2937
11,5838,2948,2890
12,5956,3038,2918
13,6059,3241,2818
14,5877,3014,2863
15,5666,2965,2701
16,5901,2981,2920
17,5947,3044,2903
18,6520,3380,3140
19,6975,3530,3445
20,7662,3768,3894
21,8004,4004,4000
22,9088,4420,4668
23,9980,4728,5252
24,10368,4937,5431
25,10281,4839,5442
26,10605,5089,5516
27,10406,4944,5462
28,10314,4809,5505
29,10242,4959,5283
30,10045,4807,5238
31,9910,4801,5109
32,10072,4913,5159
33,10087,4946,5141
34,10070,4985,5085
35,10061,5014,5047
36,10650,5322,5328
37,10629,5282,5347
38,10624,5317,5307
39,10188,5169,5019
40,10334,5170,5164
41,10596,5410,5186
42,10570,5329,5241
43,10898,5512,5386
44,10952,5513,5439
45,11375,5751,5624
46,11722,5950,5772
47,12284,6153,6131
48,12436,6147,6289
49,12174,6068,6106
50,12005,6024,5981
51,12172,6093,6079
52,12095,6095,6000
53,11765,5855,5910
54,10924,5577,5347
55,10203,5268,4935
56,10824,5594,5230
57,10187,5138,5049
58,9678,4907,4771
59,8861,4489,4372
60,8522,4301,4221
61,8313,4246,4067
62,7919,3994,3925
63,7516,3828,3688
64,7187,3586,3601
65,6862,3501,3361
66,6819,3470,3349
67,6512,3322,3190
68,6983,3457,3526
69,6901,3351,3550
70,7324,3517,3807
71,8089,3916,4173
72,8445,4018,4427
73,8720,4073,4647
74,7671,3509,4162
75,4816,2097,2719
76,5505,2428,3077
77,6731,2853,3878
78,6227,2647,3580
79,6480,2675,3805
80,6086,2442,3644
81,5447,2169,3278
82,4718,1858,2860
83,5060,1937,3123
84,4851,1869,2982
85,4893,1858,3035
86,4255,1590,2665
87,3778,1364,2414
88,3600,1250,2350
89,2966,988,1978
90,2512,853,1659
91,2167,644,1523
92,1769,502,1267
93,1418,399,1019
94,1169,313,856
95,897,228,669
96,607,142,465
97,425,95,330
98,318,42,276
99,230,36,194
100,138,16,122
101,111,12,99
102,62,8,54
103,19,3,16
104歳以上,48,8,40
不詳者,0,0,0
ぉ年齢[歳],合 計[人],男性合計[人],女性合計[人]
総 数,740435,358995,381440
0,5131,2663,2468
1,5617,2850,2767
2,5569,2824,2745
3,5806,2987,2819
4,5858,2932,2926
5,5876,3018,2858
6,6136,3087,3049
7,5905,2987,2918
8,5896,3012,2884
9,5690,2954,2736
10,6027,3089,2938
11,5843,2952,2891
12,5914,3008,2906
13,6074,3256,2818
14,5895,3048,2847
15,5711,2971,2740
16,5826,2966,2860
17,5928,3023,2905
18,6506,3383,3123
19,6955,3512,3443
20,7528,3738,3790
21,8017,3984,4033
22,8973,4396,4577
23,9931,4699,5232
24,10350,4904,5446
25,10251,4854,5397
26,10566,5050,5516
27,10480,4975,5505
28,10222,4804,5418
29,10214,4921,5293
30,10097,4851,5246
31,9902,4789,5113
32,10061,4890,5171
33,10006,4897,5109
34,10119,4989,5130
35,10045,5021,5024
36,10532,5259,5273
37,10670,5321,5349
38,10656,5320,5336
39,10231,5177,5054
40,10258,5158,5100
41,10612,5395,5217
42,10578,5340,5238
43,10835,5487,5348
44,10898,5466,5432
45,11347,5749,5598
46,11650,5908,5742
47,12309,6176,6133
48,12431,6179,6252
49,12140,6018,6122
50,12001,6051,5950
51,12224,6117,6107
52,12015,6016,5999
53,11815,5889,5926
54,11182,5703,5479
55,9987,5190,4797
56,10888,5616,5272
57,10235,5135,5100
58,9743,4982,4761
59,8903,4492,4411
60,8544,4321,4223
61,8323,4222,4101
62,8004,4045,3959
63,7523,3837,3686
64,7234,3620,3614
65,6842,3490,3352
66,6836,3462,3374
67,6485,3319,3166
68,6925,3422,3503
69,6909,3368,3541
70,7288,3508,3780
71,8003,3857,4146
72,8491,4044,4447
73,8622,4032,4590
74,7904,3639,4265
75,4870,2126,2744
76,5474,2408,3066
77,6681,2821,3860
78,6203,2640,3563
79,6458,2661,3797
80,6135,2468,3667
81,5520,2195,3325
82,4773,1895,2878
83,4976,1882,3094
84,4822,1862,2960
85,4957,1905,3052
86,4250,1581,2669
87,3760,1352,2408
88,3604,1249,2355
89,2978,1009,1969
90,2558,861,1697
91,2175,650,1525
92,1772,507,1265
93,1430,395,1035
94,1187,324,863
95,904,221,683
96,609,149,460
97,416,91,325
98,324,46,278
99,223,37,186
100,140,15,125
101,107,12,95
102,60,7,53
103,23,4,19
104歳以上,48,8,40
不詳者,0,0,0
�ゅ�繧ゅ〒蜊∝ｭ励↓邵帙▲縺ｦ縺上□縺輔＞縲ゑｼ医�繧ゅ�邏�譚舌�蝠上＞縺ｾ縺帙ｓ�俄�ｻ邊倡捩繝��繝励↑縺ｩ縺ｧ譚溘�縺溘ｂ縺ｮ縺ｯ蝗槫庶縺ｧ縺阪∪縺帙ｓ縲�
1255,縺ゅ″繧矩㍽蟶�,蜈ｨ蝓�,縺ｾ縺ｪ譚ｿ�亥庄辯�＃縺ｿ蟆ら畑陲九↓蜈･繧翫�∝哨縺後＠縺ｰ繧後ｋ繧ゅ���,蜿ｯ辯�＃縺ｿ,,,,,
