"年度","事業収入[円]","補助金収入[円]","その他収入[円]","収入合計[円]","事業費[円]","管理費[円]","その他支出[円]","支出合計[円]","当期収支差額[円]","流動資産[円]","固定資産[円]","資産合計[円]","流動負債[円]","固定負債[円]","負債合計[円]","正味財産[円]","負債・正味財産合計[円]"
"2014","0","919000","0","919000","0","919000","0","919000","0","200000","600000000","600200000","200000","0","200000","600000000","600200000"
"2015","0","93000","0","93000","0","93000","0","93000","0","198000","600000000","600198000","198000","0","198000","600000000","600198000"
"2016","0","529000","0","529000","0","529000","0","529000","0","0","600000000","600000000","0","0","0","600000000","600000000"
"2017","0","19124000","0","19124000","0","19124000","0","19124000","0","132000","600000000","600132000","132000","0","132000","600000000","600132000"
"2018","0","291000","0","291000","0","291000","0","291000","0","0","0","0","0","0","0","0","0"

"令和元年度港区行政資料集　財団法人港区住宅公社 決算状況","Ver201903",,,,,,,,,,,,,,,,
