"年度[西暦]","ポート数","自転車保有台数[台]","会員登録者数[人]","利用回数[回]"
"2015","38","710","13264","170982"
"2016","63","1710","31256","487367"
"2017","85","1710","58582","1101935"
"2018","102","1710","90801","1668285"
"2019","116","1710","122567","2078986"

"令和2年度港区行政資料集　自転車シェアリング","Ver202003",,,
