区市町村名,市街地面積（ｍ２）,木造防火準耐の平均階数,平均階数木造,平均階数防火造,平均階数準耐火造,平均階数耐火造,平均建ぺい率木造（％）,平均建ぺい率防火造（％）,平均建ぺい率準耐火造（％）,平均建ぺい率耐火造（％）,平均建ぺい率全建物（％）,混成率木造（％）,混成率防火造（％）,混成率準耐火造（％）,混成率耐火造（％）,平均延焼速度比,容積率（％）,道路率（％）,空地率（％）,構造別建物棟数木造,構造別建物棟数防火造,構造別建物棟数準耐火造,構造別建物棟数耐火造,構造別建物棟数総数
千代田区,11362137,1.98,1.72,2.11,1.74,6.13,0.7,2.0,1.0,60.2,63.9,1.0,3.1,1.6,94.2,0.04,263.5,21.6,33.7,264,1680,625,9554,12123
中央区,10598272,2.22,1.81,2.11,2.92,6.30,0.5,4.3,1.7,55.9,62.4,0.8,6.8,2.8,89.6,0.06,236.5,24.2,29.5,478,4208,950,11204,16840
港区,21285051,1.94,1.63,1.90,2.18,5.13,1.2,4.6,3.1,47.0,55.9,2.1,8.3,5.5,84.2,0.10,217.7,16.2,30.1,1601,7732,3341,17793,30467
新宿区,18254368,2.02,1.59,2.01,2.07,4.58,0.7,11.5,5.4,36.3,53.9,1.4,21.4,10.0,67.3,0.20,203.1,12.0,17.0,1257,20611,11964,20328,54160
文京区,11357733,2.03,1.70,1.95,2.27,4.33,1.3,13.7,6.4,33.2,54.5,2.4,25.1,11.7,60.9,0.24,175.9,10.7,17.2,1381,16936,7550,12748,38615
台東区,10071739,2.14,1.71,2.07,2.47,4.92,2.6,14.5,6.1,34.5,57.6,4.5,25.2,10.5,59.8,0.25,166.7,17.4,16.9,2140,15874,6211,16025,40250
墨田区,13710868,2.18,1.61,1.98,2.62,4.81,1.5,15.0,11.6,24.5,52.6,2.9,28.5,22.0,46.6,0.33,137.3,13.9,22.0,2113,21867,12654,10467,47101
江東区,41920247,1.95,1.64,1.96,1.96,4.14,0.6,8.1,12.5,36.1,57.3,1.1,14.1,21.8,63.0,0.22,109.9,12.9,47.1,2048,24897,14409,18182,59536
品川区,23510720,2.07,1.59,2.04,2.30,4.14,1.3,16.6,5.9,26.4,50.2,2.6,33.1,11.7,52.5,0.29,127.6,9.2,30.1,2679,36970,10293,14496,64438
目黒区,14759205,2.05,1.65,1.99,2.22,3.33,1.5,14.6,9.0,22.8,47.8,3.1,30.5,18.8,47.6,0.32,122.5,7.0,13.2,2310,22060,14387,13599,52356
大田区,61613841,2.09,1.70,2.06,2.31,3.77,2.4,15.0,9.3,20.2,46.9,5.1,32.0,19.8,43.1,0.35,79.3,8.2,38.7,11016,71700,28980,22275,133971
世田谷区,58079254,2.04,1.55,2.02,2.24,3.31,1.9,18.3,7.3,16.3,43.9,4.4,41.8,16.7,37.1,0.39,92.4,5.2,20.0,10019,99601,35472,26984,172076
渋谷区,15112513,2.11,1.63,2.01,2.42,4.40,0.6,10.5,4.2,36.7,52.0,1.2,20.2,8.0,70.6,0.18,168.2,10.7,20.7,724,14857,5689,16427,37697
中野区,15575003,2.07,1.69,2.05,2.35,3.54,2.4,20.6,6.3,17.8,47.0,5.1,43.7,13.3,37.8,0.39,115.5,5.0,11.9,3906,37526,8830,12182,62444
杉並区,33899717,2.04,1.65,2.03,2.21,3.57,2.5,22.0,7.2,12.8,44.5,5.5,49.4,16.3,28.8,0.44,92.2,5.1,15.4,7503,77003,20381,13729,118616
豊島区,12984737,2.11,1.64,2.02,2.39,4.12,1.2,14.5,7.8,26.8,50.3,2.5,28.9,15.5,53.1,0.29,160.9,8.7,12.0,1760,23033,10402,16440,51635
北区,20531904,1.99,1.41,2.00,2.05,3.71,1.1,17.6,7.7,22.7,49.0,2.3,35.9,15.7,46.2,0.33,104.3,8.1,29.5,2256,37460,15369,14319,69404
荒川区,10224996,2.12,1.47,1.95,2.49,4.37,1.5,17.0,13.3,20.0,51.7,2.9,32.9,25.7,38.6,0.38,131.1,8.4,22.7,1713,21019,13050,6706,42488
板橋区,32091135,1.95,1.53,1.92,2.10,3.77,1.7,14.6,9.7,20.8,46.9,3.7,31.1,20.8,44.4,0.34,104.9,9.4,21.8,5510,51151,28272,16923,101856
練馬区,48184175,1.97,1.68,2.01,2.06,3.18,3.6,19.9,4.3,14.2,42.0,8.5,47.5,10.2,33.8,0.42,82.6,5.2,21.7,16101,95080,16257,19381,146819
足立区,53200226,1.94,1.53,1.97,1.97,3.35,1.8,15.1,8.8,15.3,41.0,4.3,36.9,21.6,37.2,0.39,74.4,8.4,27.8,8986,81283,34281,21232,145782
葛飾区,34808777,1.99,1.67,2.01,2.02,3.16,2.3,17.7,7.9,15.6,43.5,5.3,40.7,18.1,35.8,0.40,76.4,7.1,29.9,7253,61330,25031,15954,109568
江戸川区,48649427,2.10,1.62,1.99,2.45,3.94,2.2,16.4,11.8,13.8,44.1,5.0,37.0,26.7,31.3,0.42,78.4,9.6,31.5,9378,73024,35909,15033,133344
中央防波堤,6718681,1.16,0.00,1.19,1.15,2.79,0.0,1.4,4.8,25.2,31.3,0.0,4.3,15.3,80.4,0.12,5.1,5.9,87.5,0,31,144,39,214
特別区小計,628504726,2.03,1.62,2.00,2.22,4.07,1.9,15.7,7.8,22.0,47.4,4.0,33.1,16.4,46.5,0.33,111.3,9.2,27.3,102369,916640,360359,361697,1741065
東京都合計,1781155230,1.96,1.50,1.98,2.11,3.92,2.6,16.3,7.2,17.3,43.4,5.9,37.5,16.7,39.9,0.38,55.3,5.1,55.6,231382,1575827,520956,444283,2772448
