消防署名,木造建物１階,木造建物２階,木造建物３階以上,防火造建物１階,防火造建物２階,防火造建物３階以上,準耐火造建物１階,準耐火造建物２階,準耐火造建物３階以上,耐火造建物１階,耐火造建物２階,耐火造建物３階,耐火造建物４階,耐火造建物５階,耐火造建物６階,耐火造建物７階,耐火造建物８階,耐火造建物９階,耐火造建物１０階,耐火造建物１１階,耐火造建物１２階,耐火造建物１３階,耐火造建物１４階,耐火造建物１５～１９階,耐火造建物２０～２４階,耐火造建物２５～２９階,耐火造建物３０～３９階,耐火造建物４０～４９階,耐火造建物５０階以上,計
丸の内消防署,31,8,0,15,20,4,66,15,6,104,37,25,15,14,3,4,19,24,18,11,5,5,7,21,26,10,15,1,0,529
麹町消防署,39,42,3,44,257,35,147,61,35,189,120,275,377,434,332,276,261,228,142,47,38,12,32,32,13,6,6,3,0,3486
神田消防署,27,95,20,45,1012,248,88,144,63,102,131,582,1138,1326,795,623,617,529,262,72,82,40,23,29,9,4,3,1,0,8110
京橋消防署,26,97,12,69,1094,257,38,106,190,70,169,486,663,786,510,497,520,497,296,107,91,52,47,31,10,2,2,0,1,6726
日本橋消防署,25,35,1,30,1023,152,31,116,300,68,126,428,893,966,609,507,484,480,277,138,106,48,42,25,7,1,2,0,0,6920
臨港消防署,54,228,0,86,1324,204,188,66,59,78,81,385,176,112,54,59,70,28,30,23,23,14,22,17,4,4,11,5,4,3409
芝消防署,204,258,5,315,1589,119,230,216,233,632,344,812,852,881,489,515,523,505,256,120,96,48,61,47,38,22,22,14,2,9448
麻布消防署,102,201,6,304,1573,105,137,350,367,264,340,1285,823,555,320,272,226,156,95,60,39,28,45,29,6,7,2,4,1,7702
赤坂消防署,95,128,2,278,935,75,99,205,226,267,316,1075,611,470,257,204,191,156,95,42,28,24,18,18,14,8,4,3,1,5845
高輪消防署,211,382,7,256,2090,93,376,499,403,522,324,976,415,251,117,128,105,76,60,45,26,16,35,27,6,12,14,11,0,7483
品川消防署,351,467,18,577,6992,784,972,718,1322,474,542,1858,859,495,278,210,229,170,130,97,57,39,63,29,27,13,12,2,0,17785
大井消防署,283,411,6,582,8054,709,842,427,1139,691,317,1102,562,379,161,128,114,74,48,35,27,24,58,18,2,3,1,0,0,16197
荏原消防署,504,628,11,743,16746,1786,678,1299,2901,274,517,2416,1039,416,144,106,61,35,44,42,27,19,25,8,2,0,0,0,0,30471
大森消防署,1145,2577,0,691,19649,2207,910,4520,3657,252,890,2824,1267,640,280,196,125,75,85,58,27,19,27,10,2,3,0,0,0,42136
田園調布消防署,850,2119,5,752,20890,1891,612,5116,2977,175,983,2385,1079,416,179,134,63,33,25,16,9,6,6,4,0,0,0,0,0,40725
蒲田消防署,860,2031,8,488,12214,1514,958,2838,2818,335,654,2865,972,503,216,132,116,76,64,45,29,23,22,15,4,0,0,0,0,29800
矢口消防署,514,908,2,439,9917,1059,486,1865,2225,126,308,1779,784,373,180,131,66,49,39,20,8,14,14,14,3,5,0,0,0,21328
