順位（位）,１９,２０,２１,２２,２３,２４,２５,２６,２７,２８
1,放火（疑いを含む。）,放火（疑いを含む。）,放火（疑いを含む。）,放火（疑いを含む。）,放火（疑いを含む。）,放火（疑いを含む。）,放火（疑いを含む。）,放火（疑いを含む。）,放火（疑いを含む。）,放火（疑いを含む。）
2,たばこ,たばこ,たばこ,たばこ,たばこ,たばこ,たばこ,たばこ,たばこ,たばこ
3,ガステーブル等,ガステーブル等,ガステーブル等,ガステーブル等,ガステーブル等,ガステーブル等,ガステーブル等,ガステーブル等,ガステーブル等,ガステーブル等
4,火遊び,火遊び,火遊び,火遊び,電気ストーブ,電気ストーブ,電気ストーブ,大型ガスこんろ,大型ガスこんろ,大型ガスこんろ
5,大型ガスこんろ,電気ストーブ,大型ガスこんろ,大型ガスこんろ,火遊び,火遊び,大型ガスこんろ,電気ストーブ,電気ストーブ,電気ストーブ
