愛称,機種,運用開始年月
ちどり,ＡＷ１３９型「－」,平成29年4月
かもめ,ＡＳ３６５Ｎ３型「ドーファンⅡ」,平成21年4月
つばめ,ＡＳ３６５Ｎ３型「ドーファンⅡ」,平成22年4月
おおたか（総務消ヘリ）,ＡＳ３６５Ｎ３型「ドーファンⅡ」,平成18年4月
ひばり,ＡＳ３３２Ｌ１型「スーパーピューマ」,平成13年6月
ゆりかもめ,ＥＣ２２５ＬＰ型「－」,平成20年4月
こうのとり,ＥＣ２２５ＬＰ型「－」,平成26年3月
はくちょう,ＥＣ２２５ＬＰ型「－」,平成26年4月
