区分,出場延べ数
ポンプ車（台）,19649
化学車（台）,1511
救助車（台）,2183
指揮隊車（台）,4267
はしご車（台）,2293
消防ヘリコプター（機）,35
消防艇（艇）,47
消防職員（人）,125242
消防団員（人）,5674
