方面,配置消防署,中隊名
第一方面,赤坂,赤坂化学機動中隊
第二方面,大井,大井化学機動中隊
第五方面,本郷,本郷化学機動中隊
第六方面,千住,千住化学機動中隊
第七方面,城東,大島化学機動中隊
第八方面,三鷹,三鷹化学機動中隊
第八方面,東村山,東村山化学機動中隊
第九方面,福生,福生化学機動中隊
第十方面,志村,志村坂上化学機動中隊
