構造別,火災件数－程度別合計,火災件数－程度別全焼,火災件数－程度別半焼,火災件数－程度別部分焼,火災件数－程度別ぼや,火災件数－出火階層別地階,火災件数－出火階層別１階,火災件数－出火階層別２階,火災件数－出火階層別３階,火災件数－出火階層別４階以上,焼損棟数,り災世帯数,死者数,負傷者数
合計,2681,71,86,400,2124,151,1143,593,261,533,2986,2072,75,763
木造,94,26,7,12,49,1,76,17,-,-,190,157,6,40
防火造,639,29,62,107,441,1,406,222,9,1,801,819,48,253
準耐火,154,1,8,30,115,1,84,55,13,1,162,109,2,48
耐火造,1699,1,4,238,1456,147,494,289,238,531,1709,965,19,413
その他,95,14,5,13,63,1,83,10,1,-,124,22,-,9
