用途別,処理件数
劇場、映画館、演芸場、観覧場,51
公会堂、集会場,9
キャバレー・カフェ・ナイトクラブ,-
遊技場、ダンスホール,19
性風俗営業店,-
カラオケボックス、ネットカフェ等,2
待合、料理店,1
飲食店,267
百貨店、マーケット,564
旅館、ホテル、宿泊所,165
寄宿舎、下宿、共同住宅,8490
病院、診療所,147
社会福祉施設,630
幼稚園、特別支援学校,61
小・中学校、高等学校、大学,679
図書館、博物館、美術館,28
蒸気浴場、熱気浴場、公衆浴場,2
停車場、発着場,148
神社、寺院、教会,131
工場、作業場,224
映画スタジオ、テレビスタジオ,4
車庫、駐車場,372
格納庫,1
倉庫,680
事務所、銀行、その他の事業所,2965
複合用途防火対象物（雑居ビル）,2732
地下街,-
準地下街,-
文化財建造物,-
アーケード,3
専用住宅,28748
長屋,3827
その他（非該当）,914
合計,51864
