市町村,対象物数
千代田区,232
中央区,127
港区,204
新宿区,120
文京区,47
台東区,36
墨田区,29
江東区,92
品川区,82
目黒区,22
大田区,47
世田谷区,31
渋谷区,82
中野区,10
杉並区,16
豊島区,34
北区,18
荒川区,9
板橋区,25
練馬区,12
足立区,21
葛飾区,10
江戸川区,16
八王子市,47
立川市,19
武蔵野市,16
三鷹市,10
青梅市,5
府中市,28
昭島市,9
調布市,19
町田市,16
小金井市,6
小平市,12
日野市,13
東村山市,5
国分寺市,7
国立市,1
福生市,4
狛江市,3
東大和市,2
清瀬市,4
東久留米市,2
武蔵村山市,4
多摩市,30
羽村市,3
あきる野市,4
西東京市,7
瑞穂町,3
日の出町,1
